Predictor,Lag_1_pvalue,Lag_2_pvalue,Lag_3_pvalue,Lag_1_BH,Lag_2_BH,Lag_3_BH,Lag_1_significant,Lag_2_significant,Lag_3_significant
DGS2_diff,0.011703567790066694,0.01907874775415517,0.029341596716746087,0.19223736050762186,0.19223736050762186,0.1980557778380361,False,False,False
USEPUINDXD_diff,0.9105927672152158,0.9666096292540521,0.9208785591130699,0.9835146978189658,0.9835146978189658,0.9835146978189658,False,False,False
VIXCLS,0.24452562462703586,0.0016763663223946684,0.002574879284579959,0.5078609126869207,0.06952174068365889,0.06952174068365889,False,False,False
trade_sum,0.9835146978189658,0.7221997565035877,0.6284872491433857,0.9835146978189658,0.8477997141563856,0.7892630570637867,False,False,False
sanctions_sum,0.7541170506347795,0.9428234114956049,0.40730292090077225,0.8664323560484701,0.9835146978189658,0.6109543813511584,False,False,False
fed_pressure_sum,0.5243228071001566,0.6056726263792778,0.35275490496559964,0.6905715020343525,0.7787219482019285,0.5952739021294494,False,False,False
trade_max,0.29444342572524596,0.32877763839301544,0.5170030746165653,0.5482739651435614,0.5727094346200914,0.6905715020343525,False,False,False
sanctions_max,0.959969581515957,0.7719940757648043,0.23512315756977953,0.9835146978189658,0.8684933352354048,0.5078609126869207,False,False,False
fed_pressure_max,0.6585387193650019,0.6557279313096129,0.3888670096366255,0.7902464632380022,0.7902464632380022,0.6109543813511584,False,False,False
trade_sum_ma3,0.24311928194653962,0.4022949194496072,0.5000530039685738,0.5078609126869207,0.6109543813511584,0.6905715020343525,False,False,False
sanctions_sum_ma3,0.2821513857508979,0.40615288730057875,0.2799877376128317,0.5441491010910173,0.6109543813511584,0.5441491010910173,False,False,False
fed_pressure_sum_ma3,0.21063426437660396,0.42941171487625346,0.32282267094593475,0.49510387982251775,0.6267089892788563,0.5727094346200914,False,False,False
trade_sum_ma5,0.4455468812593004,0.07374779929659614,0.1275574719661575,0.6331455681053216,0.32900909579927756,0.3826724158984725,False,False,False
sanctions_sum_ma5,0.18642611255177954,0.14952930150719504,0.07920589343315941,0.47938143227600455,0.40372911406942663,0.32900909579927756,False,False,False
fed_pressure_sum_ma5,0.12514294395217576,0.21087757844292424,0.10046473326312244,0.3826724158984725,0.49510387982251775,0.3826724158984725,False,False,False
trade_sum_ma10,0.02829931323418003,0.06975261771335113,0.13804555841036098,0.1980557778380361,0.32900909579927756,0.3923400081136575,False,False,False
sanctions_sum_ma10,0.018923907088838482,0.0596212021180046,0.11786987702620574,0.19223736050762186,0.3219544914372248,0.3826724158984725,False,False,False
fed_pressure_sum_ma10,0.021359706723069093,0.043990217954609064,0.11247756657771504,0.19223736050762186,0.2639413077276544,0.3826724158984725,False,False,False
