Tweet ID,Date,Tweet,Severity,Role,Status,Fed Score (0-100),Band,Reason,
1061168803218948100,2018-11-10 08:08:52,"There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor. Billions of dollars are given each year, with so many lives lost, all because of gross mismanagement of the forests. Remedy now, or no more Fed payments!",Very Low,Not applicable (no Federal Reserve pressure),Not applicable ,0,Very low,"In this tweet, ""Fed"" refers to federal government payments, not the Federal Reserve. The tweet contains no pressure relating to monetary policy or Federal Reserve decisions.",
1077231267559755800,2018-12-24 15:55:22,"The only problem our economy has is the Fed. They don't have a feel for the Market, they don't understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can't score because he has no touch - he can't putt!",High,"Direct pressure (for fed pressure, the direct/indirect role depends on whether the attack/complaint is direct or if it is just a comment)",Ongoing,74,High,"Direct and severe criticism of the Federal Reserve, blaming it for problems in the US economy and questionint its understanding of markets and current economic conditions. The pressure is strong, but no specific monetary-policy action is demanded.",RELEVANT TO TRADE HOSTILITY
1.0958575873445519e+18,2019-02-14 01:29:43,"California has been forced to cancel the massive bullet train project after having spent and wasted many billions of dollars. They owe the Federal Government three and a half billion dollars. We want that money back now. Whole project is a ""green"" disaster!",Very low,Not applicable,Not applicable ,0,Very Low,"The tweet concerns money owed by California to the federal government for the cancelled rail project. It contains no reference to the Federal Reserve, monetary policy, interest rates, Powell, or pressure on Fed decision-making.",
1153274794579767300,2019-07-22 12:05:12,"It is far more costly for the Federal Reserve to cut deeper if the economy actually does, in the future, turn down! Very inexpensive, in fact productive, to move now. The Fed raised &, tightened far too much &, too fast. In other words, they missed it (Big!). Don't miss it again!",High,Direct (pressuring the Federal Reserve for a change in monetary policy),Partially concluded,79,High,"Direct and strong pressure on the Federal Reserve to ease monetary policy, criticising previous tightening as excessive and urging the Fed to act now to avoid a more costly response to a future downturn.",
1156666163310530600,2019-07-31 20:41:17,"What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy and aggressive rate-cutting cycle which would keep pace with China, The European Union and other countries around the world.... ....As usual, Powell let us down, but at least he is ending quantitative tightening, which shouldn't have started in the first place - no inflation. We are winning anyway, but I am certainly not getting much help from the Federal Reserve!",Very high,Direct,Ongoing/Partially concluded,84,Very high,"Direct and severe criticism of Powell and previous Federal Reserve policy, while explicitly advocating a lengthy and aggressive rate-cutting cycle to keep pace with foreign economies. The tweet signals escalating political pressure on the Fed and direct dissatisfaction with Powell's monetary-policy decisions.",
1156720638377308200,2019-08-01 00:17:45,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullard of St. Louis Fed said they waited too long to correct the mistake that they made last December. ""Mistake, Powell cut rate and then he started talking."" @LouDobbs",Moderate,Indirect,Concluded,52,Moderate,"Cites external criticism that the Fed tightened excessively and was too slow to correct its previous policy mistake. Although the tweet reinforces criticism of Powell and past Fed decisions, Trump does not directly demand a policy change or strongly express his own position, making the pressure more indirect and less severe.",
1156979443900067800,2019-08-01 17:26:09,"Our representatives have just returned from China where they had constructive talks having to do with a future Trade Deal. We thought we had a deal with China three months ago, but sadly, China decided to re-negotiate the deal prior to signing. More recently, China agreed to... ...buy agricultural product from the U.S. in large quantities, but did not do so. Additionally, my friend President Xi said that he would stop the sale of Fentanyl to the United States – this never happened, and many Americans continue to die! Trade talks are continuing, and... ...during the talks the U.S. will start, on September 1st, putting a small additional Tariff of 10% on the remaining 300 Billion Dollars of goods and products coming from China into our Country. This does not include the 250 Billion Dollars already Tariffed at 25%... ...We look forward to continuing our positive dialogue with China on a comprehensive Trade Deal, and feel that the future between our two countries will be a very bright one!",Very low,Not applicable,Not applicable ,0,Very low,"Tweet announces an escalation in the ongoing US-China trade dispute through additional tariffs, but contains no criticism of, demand toward, or pressure on the Federal Reserve or monetary policy.",CONSIDER FOR TRADE HOSTILITY
1157633906025402400,2019-08-03 12:46:45,"Things are going along very well with China. They are paying us Tens of Billions of Dollars, made possible by their monetary devaluations and pumping in massive amounts of cash to keep their system going. So far our consumer is paying nothing - and no inflation. No help from Fed!",Low,"Direct (""no help from Fed!"")",Ongoing,25,Low,Direct but vague criticism that the Federal Reserve is not supporting the US while China uses monetary devaluation and stimulus. The tweet implies dissatisfaction with Fed policy but does not identify a specific Fed decision or demand a particular monetary-policy action.,CONSIDER FOR TRADE HOSTILITY
1150590096527302700,2019-07-15 02:17:10,"We are doing great Economically as a Country, Number One, despite the Fed's antiquated policy on rates and tightening. Much room to grow!",High,Direct,Ongoing,78,High,"Directly criticises the Federal Reserve's interest-rate and tightening policy as outdated and argues that the US economy has additional room to grow, implying that current monetary policy is unnecessarily restrictive.",
1152195094398873600,2019-07-19 12:34:51,"Thomas ""the Chin"" Friedman, a weak and pathetic sort of guy, writes columns for The New York Times in between rounds of his favorite game, golf. Two weeks ago, while speaking to a friend on his cell phone, I unfortunately ended up speaking to Friedman. We spoke for a while and... ....Governor of the State did a good job. That may be true but she could not have done it without the tremendous economic success of our Country &, the turnaround that my Administration has caused. Really Nasty to me in his average I.Q. Columns, kissed my a.. on the call. Phony! ....he could not have been nicer or more respectful to your favorite President, me. Then I saw the column he wrote, ""Trump Will Be Re-elected, Won't He?"" He called me a Racist, which I am not, and said Rhode Island went from economically bad to great in 5 years because the..... Because of the faulty thought process we have going for us at the Federal Reserve, we pay much higher interest rates than countries that are no match for us economically. In other words, our interest costs are much higher than other countries, when they should be lower. Correct!",Very high,Direct,Ongoing,92,Very high,"Directly criticises the Federal Reserve's decision-making, arguing that its policy has left the United States paying unnecessarily high interest rates compared with other economies and asserting that rates should be lower. The tweet represents an explicit and forceful challenge to current monetary policy.",
