date,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5
2017-01-01,,,
2017-01-02,,,
2017-01-03,,,
2017-01-04,,,
2017-01-05,46.0,12.0,0.0
2017-01-06,54.0,12.0,0.0
2017-01-07,44.0,0.0,0.0
2017-01-08,26.0,0.0,0.0
2017-01-09,37.0,5.0,0.0
2017-01-10,29.0,5.0,0.0
2017-01-11,21.0,5.0,0.0
2017-01-12,21.0,5.0,0.0
2017-01-13,21.0,5.0,0.0
2017-01-14,0.0,0.0,0.0
2017-01-15,8.0,0.0,0.0
2017-01-16,8.0,4.0,0.0
2017-01-17,8.0,4.0,0.0
2017-01-18,16.0,4.0,0.0
2017-01-19,16.0,4.0,0.0
2017-01-20,18.2,9.0,0.0
2017-01-21,21.2,5.0,0.0
2017-01-22,21.2,5.0,0.0
2017-01-23,17.2,5.0,0.0
2017-01-24,17.2,5.0,0.0
2017-01-25,9.0,0.0,0.0
2017-01-26,20.0,2.4,0.0
2017-01-27,32.6,3.4,0.0
2017-01-28,28.6,3.4,0.0
2017-01-29,28.6,3.4,0.0
2017-01-30,34.6,3.4,0.0
2017-01-31,20.6,1.0,0.0
2017-02-01,8.0,0.0,0.0
2017-02-02,17.0,20.0,0.4
2017-02-03,17.0,20.0,0.4
2017-02-04,23.0,28.0,0.4
2017-02-05,23.0,28.0,0.4
2017-02-06,23.0,28.0,0.4
2017-02-07,14.0,12.0,0.0
2017-02-08,14.0,13.0,0.0
2017-02-09,0.0,5.0,0.0
2017-02-10,0.0,5.0,0.0
2017-02-11,2.0,6.0,0.0
2017-02-12,2.0,6.0,0.0
2017-02-13,2.0,5.0,0.0
2017-02-14,4.0,15.0,0.0
2017-02-15,6.0,15.0,0.0
2017-02-16,4.0,14.0,0.0
2017-02-17,4.0,10.0,0.0
2017-02-18,4.0,10.0,0.0
2017-02-19,4.0,0.0,0.0
2017-02-20,2.0,0.0,0.0
2017-02-21,2.0,0.0,0.0
2017-02-22,2.0,0.0,0.0
2017-02-23,2.0,0.0,0.0
2017-02-24,0.0,0.0,0.0
2017-02-25,0.0,0.0,0.0
2017-02-26,0.0,0.0,0.0
2017-02-27,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0
2017-03-02,0.0,0.0,0.0
2017-03-03,0.0,0.0,0.0
2017-03-04,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0
2017-03-06,0.0,0.0,0.0
2017-03-07,0.0,0.0,0.0
2017-03-08,0.0,0.0,0.0
2017-03-09,1.0,0.6,0.0
2017-03-10,1.0,0.6,0.0
2017-03-11,1.0,0.6,0.0
2017-03-12,1.0,0.6,0.0
2017-03-13,1.0,0.6,0.0
2017-03-14,0.0,0.0,0.0
2017-03-15,2.0,0.0,0.0
2017-03-16,2.0,0.0,0.0
2017-03-17,11.0,5.0,0.0
2017-03-18,19.0,5.0,0.0
2017-03-19,19.0,5.0,0.0
2017-03-20,17.0,5.0,0.0
2017-03-21,17.0,5.0,0.0
2017-03-22,8.0,0.0,0.0
2017-03-23,0.0,0.0,0.0
2017-03-24,0.0,0.0,0.0
2017-03-25,0.0,0.0,0.0
2017-03-26,0.0,0.0,0.0
2017-03-27,8.0,0.0,0.0
2017-03-28,16.0,4.0,0.0
2017-03-29,16.0,4.0,0.0
2017-03-30,30.6,5.6,0.0
2017-03-31,38.6,5.6,0.0
2017-04-01,30.6,5.6,0.0
2017-04-02,22.6,1.6,0.0
2017-04-03,22.6,13.6,0.0
2017-04-04,8.0,12.0,0.0
2017-04-05,0.0,12.0,0.0
2017-04-06,0.0,12.0,0.0
2017-04-07,0.0,12.0,0.0
2017-04-08,2.4,0.0,0.0
2017-04-09,2.4,0.0,0.0
2017-04-10,2.4,0.0,0.0
2017-04-11,14.0,6.6,0.0
2017-04-12,16.0,6.6,0.0
2017-04-13,17.6,14.6,0.0
2017-04-14,17.6,14.6,0.0
2017-04-15,17.6,14.6,0.0
2017-04-16,14.0,8.0,0.0
2017-04-17,22.0,8.0,0.0
2017-04-18,18.0,0.0,0.0
2017-04-19,22.0,0.0,0.0
2017-04-20,27.0,0.4,0.0
2017-04-21,30.4,6.0,0.0
2017-04-22,20.4,6.0,0.0
2017-04-23,28.4,6.0,0.0
2017-04-24,24.4,6.0,0.0
2017-04-25,29.4,5.6,0.0
2017-04-26,25.0,0.0,0.0
2017-04-27,52.0,0.0,0.0
2017-04-28,48.0,8.0,0.0
2017-04-29,48.0,8.0,0.0
2017-04-30,38.0,8.0,0.0
2017-05-01,31.0,8.0,0.0
2017-05-02,4.0,8.0,0.0
2017-05-03,0.0,0.0,0.0
2017-05-04,0.0,0.0,0.0
2017-05-05,1.0,0.6,0.0
2017-05-06,1.0,0.6,0.0
2017-05-07,13.0,0.6,0.0
2017-05-08,13.0,0.6,0.0
2017-05-09,13.0,0.6,0.0
2017-05-10,12.0,0.0,0.0
2017-05-11,12.0,0.0,0.0
2017-05-12,0.0,0.0,1.0
2017-05-13,0.0,0.0,1.0
2017-05-14,0.0,0.0,1.0
2017-05-15,0.0,0.0,1.0
2017-05-16,0.0,4.0,1.0
2017-05-17,0.0,4.0,0.0
2017-05-18,2.0,4.0,0.0
2017-05-19,2.0,4.0,0.0
2017-05-20,2.0,4.0,0.0
2017-05-21,2.0,0.0,0.0
2017-05-22,2.0,0.0,0.0
2017-05-23,0.0,0.0,0.0
2017-05-24,0.0,0.0,0.0
2017-05-25,0.0,0.0,0.0
2017-05-26,0.0,0.0,0.0
2017-05-27,25.0,3.0,0.0
2017-05-28,33.0,3.0,0.0
2017-05-29,38.0,6.6,0.0
2017-05-30,54.6,8.2,0.0
2017-05-31,54.6,8.2,0.0
2017-06-01,30.6,6.2,0.0
2017-06-02,22.6,6.2,0.0
2017-06-03,17.6,2.6,0.0
2017-06-04,1.0,1.0,0.0
2017-06-05,1.0,1.0,0.0
2017-06-06,0.0,4.0,0.0
2017-06-07,0.0,4.0,0.0
2017-06-08,0.0,4.0,0.0
2017-06-09,4.0,4.0,0.0
2017-06-10,12.0,4.0,0.0
2017-06-11,12.0,0.0,0.0
2017-06-12,12.2,0.0,0.0
2017-06-13,12.2,0.0,0.0
2017-06-14,8.2,0.0,0.0
2017-06-15,0.2,0.0,0.0
2017-06-16,3.2,1.6,0.4
2017-06-17,3.0,1.6,0.4
2017-06-18,3.0,1.6,0.4
2017-06-19,3.0,1.6,0.4
2017-06-20,3.0,1.6,0.4
2017-06-21,6.0,0.0,0.0
2017-06-22,6.0,0.0,0.0
2017-06-23,6.0,0.0,0.0
2017-06-24,6.0,0.0,0.0
2017-06-25,6.0,0.0,0.0
2017-06-26,0.0,0.0,0.0
2017-06-27,0.0,0.0,0.0
2017-06-28,0.0,0.0,0.0
2017-06-29,8.0,8.0,0.0
2017-06-30,27.2,21.0,0.0
2017-07-01,27.2,21.0,0.0
2017-07-02,27.2,21.0,0.0
2017-07-03,37.2,21.0,0.0
2017-07-04,29.2,21.0,0.0
2017-07-05,32.8,11.6,0.0
2017-07-06,32.8,11.6,0.0
2017-07-07,36.8,11.6,0.0
2017-07-08,31.8,13.6,0.0
2017-07-09,44.6,17.0,0.0
2017-07-10,21.8,13.4,0.0
2017-07-11,21.8,13.4,0.0
2017-07-12,19.8,13.4,0.0
2017-07-13,14.8,11.4,0.0
2017-07-14,10.6,0.0,0.0
2017-07-15,20.0,0.0,0.0
2017-07-16,20.0,0.0,0.0
2017-07-17,23.4,0.0,0.0
2017-07-18,23.4,0.0,0.0
2017-07-19,14.8,0.0,0.0
2017-07-20,5.4,0.0,0.0
2017-07-21,5.4,0.0,0.0
2017-07-22,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0
2017-07-24,0.0,0.0,0.0
2017-07-25,15.4,0.0,0.0
2017-07-26,15.4,0.0,0.0
2017-07-27,15.4,0.0,0.0
2017-07-28,15.4,0.0,0.0
2017-07-29,37.0,3.6,0.0
2017-07-30,21.6,3.6,0.0
2017-07-31,21.6,3.6,0.0
2017-08-01,21.6,3.6,0.0
2017-08-02,21.6,3.6,0.0
2017-08-03,5.0,0.0,0.0
2017-08-04,9.0,0.0,0.0
2017-08-05,9.0,34.4,0.0
2017-08-06,9.0,34.4,0.0
2017-08-07,24.2,55.4,0.0
2017-08-08,19.2,63.4,0.0
2017-08-09,15.2,67.4,0.0
2017-08-10,15.2,33.0,0.0
2017-08-11,15.2,37.0,0.0
2017-08-12,0.0,16.0,0.0
2017-08-13,0.0,8.0,0.0
2017-08-14,43.4,4.0,0.0
2017-08-15,43.4,4.0,0.0
2017-08-16,53.4,0.0,0.0
