Tweet ID,Date ,Tweet,Severity,Role,Status,Sanctions Score (0-100),Band,Reason
884027201804488700,2017-07-09 12:31:23,"Sanctions were not discussed at my meeting with President Putin. Nothing will be done until the Ukrainian &, Syrian problems are solved!",Moderate,Indirect (no action),Ongoing,57,Moderate,"Clarifies that sanctions were not discussed while signalling that no action will be taken until broader geopolitical issues are resolved, implying sanctions remain a possible future policy option."
893965986566733800,2017-08-05 22:44:34,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,Severe,Direct (policy action), Concluded,82,Very high,"Announces that the UN Secutiry Council unanonimously approved sanctions against North Korea, representing significant geopolitical and expected financial implications."
935881037254725600,2017-11-29 14:40:01,Just spoke to President XI JINPING of China concerning the provocative actions of North Korea. Additional major sanctions will be imposed on North Korea today. This situation will be handled!,Very severe,Direct (policy action),Ongoing/Partially Concluded,89,Very high,"Announces imminent additional sanctions against North Korea following discussions with the Chinese President. The tweet communicates a direct policy commitment with substantial expected financial and geopolitical consequences, although implementation is still pending."
929492038231429100,2017-11-11 23:32:25,President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,High,Indirect ,Ongoing,76,High,"Reports an escalation of Chinese sanctions against North Korea intended to pressure the country toward denuclearisation. The sanctions action is substancial and ongoing, but the signal is indirect because Trump is reporting China's actions rather than announcing US sanctions himself, and no specific scale or economic impact of the measures is given."
917130468025348100,2017-10-08 20:51:57,"Bob Corker gave us the Iran Deal, &, that's about it. We need HealthCare, we need Tax Cuts/Reform, we need people that can get the job done!",Low,Indirect,Concluded,27,Low,"Criticises the Iran Deal, which is directly connected to the international sanctions regime on Iran, but does not announce, threaten, or advocate a change to sanctions policy. The sanctions signal is therefore implicit and limited."
1022502465147682800,2018-07-26 15:22:39,"The United States will impose large sanctions on Turkey for their long time detainment of Pastor Andrew Brunson, a great Christian, family man and wonderful human being. He is suffering greatly. This innocent man of faith should be released immediately!",Very high,Direct,Ongoing/Imminent,88,Very high,"Directly announces that the United States will impose large sanctions on Turkey in response to the ongoing detention of Andrew Brunson, using economic restrictions to pressure Turkey into his immediate release. The explicit target, substantial stated magnitude and imminent US action create a very strong sanctions-risk signal."
1019524328927453200,2018-07-18 10:08:36,"While the NATO meeting in Brussels was an acknowledged triumph, with billions of dollars more being put up by member countries at a faster pace, the meeting with Russia may prove to be, in the long run, an even greater success. Many positive things will come out of that meeting.. ....Russia has agreed to help with North Korea, where relationships with us are very good and the process is moving along. There is no rush, the sanctions remain! Big benefits and exciting future for North Korea at end of process!",High,Direct,Ongoing/Partially Concluded,75,High,"Directly confirms that sanctions on North Korea will remain in place while negotiations and the denuclearisation process continue, maintaining economic pressure despite imrpoving relations and signalling that benefits will follow only after completion of the process."
1013023608040513500,2018-06-30 11:37:03,"Just spoke to King Salman of Saudi Arabia and explained to him that, because of the turmoil &, disfunction in Iran and Venezuela, I am asking that Saudi Arabia increase oil production, maybe up to 2,000,000 barrels, to make up the difference...Prices to high! He has agreed!",Very low,Indirect,Ongoing,11,Very low,"Responds to disruptions associated with Iran and Venezuela by asking Saudi Arabia to increase oil production, but does not explicitly announce, threaten, maintain, remove, or modify sanctions. Any sanctions signal is contextual rather than directly communicated. "
1084584259510304800,2019-01-13 22:53:32,"Starting the long overdue pullout from Syria while hitting the little remaining ISIS territorial caliphate hard, and from many directions. Will attack again from existing nearby base if it reforms. Will devastate Turkey economically if they hit Kurds. Create 20 mile safe zone.... ....Likewise, do not want the Kurds to provoke Turkey. Russia, Iran and Syria have been the biggest beneficiaries of the long term U.S. policy of destroying ISIS in Syria - natural enemies. We also benefit but it is now time to bring our troops back home. Stop the ENDLESS WARS!",Moderate,Direct,Ongoing,52,Moderate,"Directly threatens severe economic retaliation against Turkey if it attacks Kurdish forces. Although no sanctions are explicitly mentioned and the mechanism of economic punishment is unspecified, the threat signals potential use of economic coercion in response to geopolitical behaviour. "
1090566017238093800,2019-01-30 11:02:54,Maduro willing to negotiate with opposition in Venezuela following U.S. sanctions and the cutting off of oil revenues. Guaido is being targeted by Venezuelan Supreme Court. Massive protest expected today. Americans should not travel to Venezuela until further notice.,Very severe,Direct,Ongoing,92,Very high,"Directly highlights ongoing US sanctions and the cutting off of Venezuelan oil revenues as economic pressure contributing to Maduro's willingness to negotiate with the opposition. The measures target a major source of state revenue and are presented as actively influencing political behaviour, indicating an intense and consequential sanctions regime."
