Tweet ID,Date,Tweet,Severity,Role,Status,Trade Score (0-100),Band,Reason
857185261029126100,2017-04-26 10:51:06,The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,Moderate,Indirect,Concluded,35,Low,"Attributes weak U.S. economic growth to trade deficits, signalling trade hostility, but describes past economic conditions without announcing or threatening policy action."
824615820391305200,2017-01-26 13:51:46,"The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers…of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",High,Direct,Ongoing,70,High,"Directly portrays the US-Mexico relationship and NAFTA as severely disadvantageous to the US, citing a large trade decific and losses of jobs and companies. The economic grievance is combined with a conditional threat to cancel an upcoming meeting, signalling substantial bilateral tension, although no new tariff or trade restriction is announced."
824970003153842200,2017-01-27 13:19:10,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &, little help on the very weak border must change, NOW!",High,Direct (no specific action),Ongoing,63,High,"Strong hostile rhetoric toward Mexico and an explicit demand for immediate change, signalling potential policy action, but no specific measure, threat, or definite plan is announced."
827715246135574500,2017-02-04 03:07:47,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,Low,Direct,Ongoing,40,Moderate,"Directly advocates retaliatory tariffs in response to perceived unequal treatment of companies, signalling trade hostility and willingness to impose reciprocal barriers. However, no specific tariff action, target, magnitude or implementation is announced."
847573220417044500,2017-03-30 22:16:17,The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits... ...and job losses. American companies must be prepared to look at other alternatives.,High,Direct,Ongoing,73,High,"Direct warning of difficult upcoming trade negotiations with China, framing existing trade deficits and job losses as unacceptable and advising US companies to prepare for alternatives. Signals substantial potential escalation, but no specific trade restriction, tarrif, or other policy action has yet been announced or implemented."
850722648883638300,2017-04-08 14:50:59,"It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous... ...goodwill and friendship was formed, but only time will tell on trade.",Very low,Indirect,Partially concluded,12,Very low,"Describes a positive diplomatic relationship with China while expressing mild uncertainty about future trade outcomes. No trade threat, dispute, restriction, retaliation, or policy action is communicated."
851766546825347100,2017-04-11 11:59:04,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,Moderate,Direct,Ongoing,58,Moderate,"Directly links the terms of a future US-China trade deal to Chinese action on North Korea, using prospective trade benefits as geopolitical leverage. The pressure is substantial, but no concrete trade restriction or retaliatory action is threatened or implemented."
868501243823575e3,2017-05-27 16:16:47,"Just left the #G7Summit. Had great meetings on everything, especially on trade where.... ""....""""we push for the removal of all trade-distorting practices....to foster a truly level playing field.""""""",High,Direct,Partially concluded/ Ongoing,65,High,"Directly advocates broad removal of trade-distoring practices following G7 negotiations to establish a level international trading environment. The policy position is potentially significant and internationally focused, but no specific retaliatory measure, target, or immediate action is announced."
869503804307275800,2017-05-30 10:40:36,"We have a MASSIVE trade deficit with Germany, plus they pay FAR LESS than they should on NATO &, military. Very bad for U.S. This will change",Very high,Direct,Ongoing,83,Very high,"Directly identifies Germany as the source of a major trade imbalance, combines this with broader bilateral grievances, and explicitly signals that the existing situation ""will change,""implying forthcoming intervention or escalation in the US-Germany economic relationship."
878013639613186e3,2017-06-22 22:15:39,"Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!",Very low,Not applicable,Not applicable,0,Very low,"Expresses strong hostility toward Mexico over drug trafficking and border security and reiterates the intention to build a border wall, but contains no signal concerning tariffs, trade barriers, trade negotiations, commercial relations, or other international trade policy."
880602793341591600,2017-06-30 01:44:01,Just finished a very good meeting with the President of South Korea. Many subjects discussed including North Korea and new trade deal!,Very high,Direct ,Concluded,76,High,"Announces a new trade deal following a presidential meeting, indicating that a concrete trade-policy development has occurred. The action is explicit and concluded, although the tweet provides no details on the scale or economic impact of the agreement."
882558219285131300,2017-07-05 11:14:11,The United States made some of the worst Trade Deals in world history.Why should we continue these deals with countries that do not help us?,Low,Direct,Ongoing,28,Low,"Directly expresses strong dissatisfaction with existing US trade agreements and questions why they should continue, signalling hostility toward current trade relationships. However, no specific trading partner, agreement, policy action, or concrete plan to alter the deals is identified. "
882560030884716500,2017-07-05 11:21:23,Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!,Moderate,Direct,Ongoing,57,Moderate,"Highlights a substantial increase in China-North Korea trade and directly criticises China for failing to cooperate with US objectives. The concrete trade development and clear frustration indicate meaningful trade tension, but no retaliatory measure or change in US trade policy is announced. "
