id,date,text
113404826487996526,2024-11-01T00:18:46.050Z,"Kamala has spent the final week of her failing campaign comparing her political opponents to the most evil mass murderers in history. Two days ago, Joe Biden called our supporters garbage…You can’t LEAD America if you don’t LOVE Americans!"
113404838425751868,2024-11-01T00:21:48.206Z,"Just days ago, a young USMC veteran named Nicholas Quets from Arizona was driving through Mexico for a beach weekend with his friends when he was viciously gunned down on the highway and murdered by members of a Mexican Cartel. His family joined me this evening in Henderson, Nevada…"
113404894982236716,2024-11-01T00:36:11.189Z,"GET OUT AND VOTE, NEVADA!!!NEVADA VOTING INFORMATION HERE:"
113405441290422074,2024-11-01T02:55:07.193Z,"It was hardworking Patriots like you who built this Country, and 5 days from now, it is hardworking Patriots like you who are going to SAVE our Country! THANK YOU, NEVADA!"
113405998200625584,2024-11-01T05:16:44.966Z,"A GREAT DAY IN NEW MEXICO, NEVADA, AND ARIZONA—THANK YOU! With your VOTE this November, we are going to Fire Kamala, and we are going to SAVE AMERICA!"
113406381620790894,2024-11-01T06:54:15.500Z,"“The Trump Economic Miracle,” a new book by the brilliant Steve Moore, tells you in great detail what we have done, and where we are going. If you are interested in MAKING AMERICA GREAT AGAIN, this great new book is a MUST READ. Enjoy! Donald J. Trump"
113406435291253643,2024-11-01T07:07:54.442Z,"“MELANIA,” the new book just out by our great former First Lady, is again The New York Times NUMBER ONE BEST SELLER. WOW, what a great achievement! The book is fantastic. We are all very proud of my beautiful Melania!!!"
113408902359347846,2024-11-01T17:35:18.911Z,Wishing everyone a Blessed and Happy All Saints’ Day!
113409094351404093,2024-11-01T18:24:08.477Z,"Mark Cuban, a total loser, is being decimated by women all over the Country, especially since they know and admire the many GREAT women that work for, and with, me. They are very “INTELLIGENT” and, likewise, very “STRONG.” Cuban has been hit so hard that he was forced to issue an apology, but his apology is worthless. I’ve known him a long time. He’s a bad guy, with major character flaws. He’s also very weak and insecure, and will do and say anything for publicity. He was a staunch supporter of Crooked Hillary Clinton during her failed Campaign for President, and is now a supporter of Lyin’ Kamala Harris, but that’s only because I don’t take his many phone calls anymore - Just don’t have the time or inclination to do so. He can never recover from the horrible statement he made yesterday about a woman’s strength and intelligence, but he is going to have to try, because what he said was totally unacceptable!"
113409095736564025,2024-11-01T18:24:29.613Z,"All I’m saying about Liz Cheney is that she is a War Hawk, and a dumb one at that, but she wouldn’t have “the guts” to fight herself. It’s easy for her to talk, sitting far from where the death scenes take place, but put a gun in her hand, and let her go fight, and she’ll say, “No thanks!” Her father decimated the Middle East, and other places, and got rich by doing so. He’s caused plenty of DEATH, and probably never even gave it a thought. That’s not what we want running our Country!"
113409096301808777,2024-11-01T18:24:38.239Z,"Today’s jobs report is a great embarrassment for our Nation. Kamala has lied for years about their pathetic job growth, which has never been real. Kamala killed 46,000 manufacturing jobs, while 773,000 Americans have lost employment in just the last year—all while their jobs have been taken by foreign-born workers. America is a Nation in Decline because Sleepy Joe, and Lyin’ Kamala, didn’t do their job. “TRUMP” WILL FIX IT! MAKE AMERICA GREAT AGAIN! GO VOTE!"
