Tweet ID,Date,Tweet,Trade Hostility,Sanction Threat,Fed Pressure,Reason
1061168803218948100,2018-11-10 08:08:52,"There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor. Billions of dollars are given each year, with so many lives lost, all because of gross mismanagement of the forests. Remedy now, or no more Fed payments!",0,0,0,"Discusses California forest management and threatens to withhold federal payments, but contains no international trade hostility, international sanctions threat, or pressure on Federal Reserve monetary policy; ""Fed payments"" refers to federal government funding, not the Federal Reserve."
1077231267559755800,2018-12-24 15:55:22,"The only problem our economy has is the Fed. They don't have a feel for the Market, they don't understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can't score because he has no touch - he can't putt!",52,0,74,"Directly blames the Federal Reserve for economic problems and criticises its understanding of markets, while positively framing ongoing ""Trade Wars"" as necessary, creating a moderate trade-hostility signal; contains no sanction threat or punitive economic measure against another country."
1.0958575873445519e+18,2019-02-14 01:29:43,"California has been forced to cancel the massive bullet train project after having spent and wasted many billions of dollars. They owe the Federal Government three and a half billion dollars. We want that money back now. Whole project is a ""green"" disaster!",0,0,0,"Discusses California's cancelled infrastructure project and demands repayment of federal government funds, but contains no international trade hostility, international sanctions threat, or pressure on Federal Reserve monetary policy."
1153274794579767300,2019-07-22 12:05:12,"It is far more costly for the Federal Reserve to cut deeper if the economy actually does, in the future, turn down! Very inexpensive, in fact productive, to move now. The Fed raised &, tightened far too much &, too fast. In other words, they missed it (Big!). Don't miss it again!",0,0,79,"Directly critises the Federal Reserve for raising rates and tightening monetary policy too much and too quickly, while urging it to act before a future downturn contains no trade-hostility or sanctions signal. "
1156666163310530600,2019-07-31 20:41:17,"What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy and aggressive rate-cutting cycle which would keep pace with China, The European Union and other countries around the world.... ....As usual, Powell let us down, but at least he is ending quantitative tightening, which shouldn't have started in the first place - no inflation. We are winning anyway, but I am certainly not getting much help from the Federal Reserve!",25,0,84,"Strongly critises Powell and the Federal Reserve for failing to pursue an aggressive rate-cutting cycle and condemns previous quantitative tightening, while the comparison with China and the EU introduces a weak signal of international economic competition, but no explicit trade action or hostility; contains no sanctions threat."
1156720638377308200,2019-08-01 00:17:45,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullard of St. Louis Fed said they waited too long to correct the mistake that they made last December. ""Mistake, Powell cut rate and then he started talking."" @LouDobbs",0,0,52,"Reports criticism from experts and a Fed official that the Federal Reserve tightened policy unnecessarily and was too slow to reverse the decision, but does not involve international trade hostility or sanctions."
1156979443900067800,2019-08-01 17:26:09,"Our representatives have just returned from China where they had constructive talks having to do with a future Trade Deal. We thought we had a deal with China three months ago, but sadly, China decided to re-negotiate the deal prior to signing. More recently, China agreed to... ...buy agricultural product from the U.S. in large quantities, but did not do so. Additionally, my friend President Xi said that he would stop the sale of Fentanyl to the United States – this never happened, and many Americans continue to die! Trade talks are continuing, and... ...during the talks the U.S. will start, on September 1st, putting a small additional Tariff of 10% on the remaining 300 Billion Dollars of goods and products coming from China into our Country. This does not include the 250 Billion Dollars already Tariffed at 25%... ...We look forward to continuing our positive dialogue with China on a comprehensive Trade Deal, and feel that the future between our two countries will be a very bright one!",95,5,0,"Announces an additional 10% tariff on $300 billion of Chinese goods amid an ongoing trade dispute, citing China's failure to fulfil trade and fentanyl commitments, creating an explicit and substantial trade-hostility signal; although fentanyl is discussed, no sanctions, or other non-trade punitive measures are threatened, and there is no Federal Reserve pressure."
1157633906025402400,2019-08-03 12:46:45,"Things are going along very well with China. They are paying us Tens of Billions of Dollars, made possible by their monetary devaluations and pumping in massive amounts of cash to keep their system going. So far our consumer is paying nothing - and no inflation. No help from Fed!",45,0,25,"Frames China's currency devaluation and monetary expansion as measures used to offset US trade pressure and highlights the large payments generated through the dispute, creating moderate trade hostility; briefly criticises the Fed for providing ""no help"" without specifying a desired policy action, and contains no sanctions threat."
1150590096527302700,2019-07-15 02:17:10,"We are doing great Economically as a Country, Number One, despite the Fed's antiquated policy on rates and tightening. Much room to grow!",0,0,78,"Directly critices the Federal Reserve's interest-rate and tightening policies as outdated and constraining further US economic growth, but contains no internarional trade hostility or sanctions threat."
1152195094398873600,2019-07-19 12:34:51,"Thomas ""the Chin"" Friedman, a weak and pathetic sort of guy, writes columns for The New York Times in between rounds of his favorite game, golf. Two weeks ago, while speaking to a friend on his cell phone, I unfortunately ended up speaking to Friedman. We spoke for a while and... ....Governor of the State did a good job. That may be true but she could not have done it without the tremendous economic success of our Country &, the turnaround that my Administration has caused. Really Nasty to me in his average I.Q. Columns, kissed my a.. on the call. Phony! ....he could not have been nicer or more respectful to your favorite President, me. Then I saw the column he wrote, ""Trump Will Be Re-elected, Won't He?"" He called me a Racist, which I am not, and said Rhode Island went from economically bad to great in 5 years because the..... Because of the faulty thought process we have going for us at the Federal Reserve, we pay much higher interest rates than countries that are no match for us economically. In other words, our interest costs are much higher than other countries, when they should be lower. Correct!",22,0,92,"Strongly criticises the Federal Reserve for maintaining higher interest rates than other countries and argues that US rates should instead be lower; the international comparison creates a weak economic-competition signal but contains no explicit trade action or hostility, and there is no sanctions threat."
1152211072851619800,2019-07-19 13:38:21,"....but it is no thanks to the Federal Reserve. Had they not acted so fast and ""so much,"" we would be doing even better than we are doing right now. This is our chance to build unparalleled wealth and success for the U.S., GROWTH, which would greatly reduce % debt. Don't blow it!",0,0,90,"Strongly blames Federal Reserve actions for constraining US economic growth and urges the Fed not to miss the opportunity for greater expansion, but contains no international trade hostility or sanctions threat."
1153274069028089900,2019-07-22 12:02:19,"With almost no inflation, our Country is needlessly being forced to pay a MUCH higher interest rate than other countries only because of a very misguided Federal Reserve. In addition, Quantitative Tightening is continuing, making it harder for our Country to compete. As good..... ....as we have done, it could have been soooo much better. Interest rate costs should have been much lower, &, GDP &, our Country's wealth accumulation much higher. Such a waste of time &, money. Also, very unfair that other countries manipulate their currencies and pump money in!",48,0,96,"Strongly attacks the Federal Reserve for maintaining excessively high interest rates and quantitative tightening, while criticising foreign countries for currency manipulation and monetary expansion that place the US at a competitive disadvantage, creating a moderate international economic-hostility signal; contains no sanctions threat."
1158350120649408500,2019-08-05 12:12:44,"China dropped the price of their currency to an almost a historic low. It's called ""currency manipulation."" Are you listening Federal Reserve? This is a major violation which will greatly weaken China over time!",58,0,78,"Explicitly accuses China of currency manipulation, labels the action a major violation and predicts economic harm to China, creating a moderate trade hostility, while directly calling on the Federal Reserve to respond; contains no sanctions threat."
1159083361803149300,2019-08-07 12:46:22,"""Three more Central Banks cut rates."" Our problem is not China - We are stronger than ever, money is pouring into the U.S. while China is losing companies by the thousands to other countries, and their currency is under siege - Our problem is a Federal Reserve that is too..... ....proud to admit their mistake of acting too fast and tightening too much (and that I was right!). They must Cut Rates bigger and faster, and stop their ridiculous quantitative tightening NOW. Yield curve is at too wide a margin, and no inflation! Incompetence is a..... ....terrible thing to watch, especially when things could be taken care of sooo easily. We will WIN anyway, but it would be much easier if the Fed understood, which they don't, that we are competing against other countries, all of whom want to do well at our expense!",63,0,99,"Applies strong competitive framing to China and other countries, highlighting China's loss of companies and currency weakness while portraying foreign economies as seeking advantage at US expense, creating subtantial trade hostility; simultaneously makes an urgent and explicit demand for the Fed to cut rates faster and end quantitative tightening, but contains no sanctions threat."
1164174364213952500,2019-08-21 13:56:12,"So Germany is paying Zero interest and is actually being paid to borrow money, while the U.S., a far stronger and more important credit, is paying interest and just stopped (I hope!) Quantitative Tightening. Strongest Dollar in History, very tough on exports. No Inflation!..... ....WHERE IS THE FEDERAL RESERVE?",30,0,93,"Strongly pressures the Federal Reserve by contrasting US interest rates with Germany's extremely low borrowing costs and highlighting the strong dollar's negative effect on exports; this creates a low trade-hostility signal through concern about US international competitiveness, but does not attack a foreign country's trade practices or threaten sanctions."
1166389407588466700,2019-08-27 16:37:59,The Federal Reserve loves watching our manufacturers struggle with their exports to the benefit of other parts of the world. Has anyone looked at what almost all other countries are doing to take advantage of the good old USA? Our Fed has been calling it wrong for too long!,55,0,82,"Strongly criticises the Federal Reserve for policies portrayed as harming US manufacturers and exports, while accusing other countries of taking advantage of the US for their own economic benefit, creating a moderate trade hostility through explicit international competitive framing; contains no sanctions threat."
1185026994993451e3,2019-10-18 02:57:07,"The radical left tolerates no dissent, it permits no opposition, it accepts no compromise, and it has absolutely no respect for the will of the American People. They are coming after me, because I am fighting for YOU! #TrumpRallyDallas #KAG2020 https://t.co/OthKwS1bud",0,0,0,"Discusses domestic political conflict and opposition from the political left, without reference to international trade, sanctions or punitive economic measures, or Federal Reserve monetary policy."
1196455500940038100,2019-11-18 03:49:55,"Just finished a very good &, cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discused including interest rates, negative interest, low inflation, easing, Dollar strength &, its effect on manufacturing, trade with China, E.U. &, others, etc.",35,0,55,"Reports a cordial discussion with Fed Chair Jay Powell covering monetary policy, dollar strength and its effects on manufacturing, alongside trade with China and the EU; this creates a low trade-hostility signal through international trade and competitiveness concerns, but expresses no hostile trade action or sanctions threat."
1196632739266596900,2019-11-19 03:34:12,"At my meeting with Jay Powell this morning, I protested fact that our Fed Rate is set too high relative to the interest rates of other competitor countries. In fact, our rates should be lower than all others (we are the U.S.). Too strong a Dollar hurting manufacturers &, growth!",38,0,94,"Explicitly pressures the Federal Reserve to lower US interest rates relative to competitor countries and links high rates and dollar strength to harm to US manufacturers and growth; the international competitiveness framing creates low trade hostility, but there is no criticism of specific foreign trade practices, trade action, or sanctions threat."
1234727146964254700,2020-03-03 06:27:46,"Australia's Central Bank cut interest rates and stated it will most likely further ease in order to make up for China's Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us.... Australia's Central Bank cut interest rates and stated it will most likely further ease in order to make up for China's Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us.... ....paying higher rates than many others, when we should be paying less. Tough on our exporters and puts the USA at a competitive disadvantage. Must be the other way around. Should ease and cut rate big. Jerome Powell led Federal Reserve has called it wrong from day one. Sad!",42,0,98,"Strongly pressures the Federal Reserve to cut rates and ease policy by contrasting US rates with Australia and other countries, explicitly arguing that current policy puts US exporters at a competitive disadvantage; this creates moderate trade hostility through direct international competitiveness concerns, but contains no hostile trade measure or sanctions threat."
1237378225417961500,2020-03-10 14:02:12,"The Federal Reserve must be a leader, not a very late follower, which it has been!",0,0,76,"Directly critices the Federal Reserve for acting too late and urges it to take a leading role in monetary policy, but makes no reference to international trade, foreign economic competition, or sanctions."
1121782348469522400,2019-04-26 14:25:28,"Just out: Real GDP for First Quarter grew 3.2% at an annual rate. This is far above expectations or projections. Importantly, inflation VERY LOW. MAKE AMERICA GREAT AGAIN!",0,0,30,"Reports stronger-than-expected US GDP growth and very low inflation, which provides an indirect monetary-policy signal through inflation conditions, but does not criticise or pressure the Federal Reserve; contains no international trade hostility or sanctions threat."
1126834718316683300,2019-05-10 13:01:47,"Great Consumer Price Index just out. Really good, very low inflation! We have a great chance to ""really rock!"" Good numbers all around.",0,0,32,"Highlights very low US inflation through the latest CPI figures, providing an indirect monetary-policy signal but making no explicit demand of or criticism toward the Federal Reserve; contains no international trade hostility or sanctions threat."
1140935620291964900,2019-06-18 10:53:44,"Mario Draghi just announced more stimulus could come, which immediately dropped the Euro against the Dollar, making it unfairly easier for them to compete against the USA. They have been getting away with this for years, along with China and others.",60,0,52,"Accuses the EU, alongside China and others, of using monetary stimulus and currency depreciation to gain an unfair competitive advantage over the US, creating substantial economic and trade hostility; the monetary-policy comparison provides moderate Fed-pressure context, but no sanctions or punitive measures are threatened."
884027201804488700,2017-07-09 12:31:23,"Sanctions were not discussed at my meeting with President Putin. Nothing will be done until the Ukrainian &, Syrian problems are solved!",0,57,0,"Explicitly discusses sanctions against Russia and indicates they will remain tied to resolution of the Ukrainian and Syrian conflicts, creating a moderate sanctions signal without announcing or threatening new measures; contains no trade hostility or Federal Reserve pressure."
893965986566733800,2017-08-05 22:44:34,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,0,82,0,"Announces the unanimous UN Security Council approval of sanctions against North Korea and explicitly emphasises their large financial impact, creating a very high sanctions signal; contains no trade hostility or Federal Reserve pressure."
935881037254725600,2017-11-29 14:40:01,Just spoke to President XI JINPING of China concerning the provocative actions of North Korea. Additional major sanctions will be imposed on North Korea today. This situation will be handled!,0,89,0,"Announces that additional major sanctions against North Korea will be imposed immediately in response to its provocative actions, creating a very high sanctions signal through explicit, imminent punitive action; contains no trade hostility or Federal Reserve pressure."
929492038231429100,2017-11-11 23:32:25,President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,0,76,0,"Reports that China is increasing sanctions against North Korea to pressure it toward denuclearisation, creating a strong sanctions signal through active escalation of punitive measures, but the action is attributed to China rather than directly announced by the US and its scale is unspecified; contains no trade hostility or Federal Reserve pressure."
917130468025348100,2017-10-08 20:51:57,"Bob Corker gave us the Iran Deal, &, that's about it. We need HealthCare, we need Tax Cuts/Reform, we need people that can get the job done!",0,27,0,"References the Iran nuclear deal critically, providing limited context related to the policy environment surrounding Iran sanctions, but does not mention sanctions, threaten punitive action, or announce any change in policy; contains no trade hostility or Federal Reserve pressure."
1022502465147682800,2018-07-26 15:22:39,"The United States will impose large sanctions on Turkey for their long time detainment of Pastor Andrew Brunson, a great Christian, family man and wonderful human being. He is suffering greatly. This innocent man of faith should be released immediately!",0,88,0,"Explicitly announces that the United States will impose large sanctions on Turkey and demands the immediate release of Pastor Andrew Brunson, creating a very high sanctions signal through direct, imminent and substantial US punitive action; contains no trade hostility or Federal Reserve pressure."
1019524328927453200,2018-07-18 10:08:36,"While the NATO meeting in Brussels was an acknowledged triumph, with billions of dollars more being put up by member countries at a faster pace, the meeting with Russia may prove to be, in the long run, an even greater success. Many positive things will come out of that meeting.. ....Russia has agreed to help with North Korea, where relationships with us are very good and the process is moving along. There is no rush, the sanctions remain! Big benefits and exciting future for North Korea at end of process!",0,75,0,"Confirms that existing sanctions on North Korea will remain in place while negotiations and denuclearisation efforts continue, maintaining substantial economic pressure but without announcing new or escalated anctions; contains no trade hostility or Federal Reserve pressure."
1013023608040513500,2018-06-30 11:37:03,"Just spoke to King Salman of Saudi Arabia and explained to him that, because of the turmoil &, disfunction in Iran and Venezuela, I am asking that Saudi Arabia increase oil production, maybe up to 2,000,000 barrels, to make up the difference...Prices to high! He has agreed!",0,11,0,"Discusses economic turmoil in Iran and Venezuela and a request for Saudi Arabia to increase oil production in response, but does not mention, threaten, or announce sanctions or other punitive economic measures; contains no trade hostility or Federal Reserve pressure."
1084584259510304800,2019-01-13 22:53:32,"Starting the long overdue pullout from Syria while hitting the little remaining ISIS territorial caliphate hard, and from many directions. Will attack again from existing nearby base if it reforms. Will devastate Turkey economically if they hit Kurds. Create 20 mile safe zone.... ....Likewise, do not want the Kurds to provoke Turkey. Russia, Iran and Syria have been the biggest beneficiaries of the long term U.S. policy of destroying ISIS in Syria - natural enemies. We also benefit but it is now time to bring our troops back home. Stop the ENDLESS WARS!",0,52,0,"Explicitly threatens severe economic consequences against Turkey if it attacks the Kurds, creating a moderate sanctions signal through a conditional threat of economic punishment, but no specific sanctions or measures are announced or implemented; contains no trade hostility or Federal Reserve pressure."
1090566017238093800,2019-01-30 11:02:54,Maduro willing to negotiate with opposition in Venezuela following U.S. sanctions and the cutting off of oil revenues. Guaido is being targeted by Venezuelan Supreme Court. Massive protest expected today. Americans should not travel to Venezuela until further notice.,0,92,0,"Describes existing US sanctions and the cutoff of Venezuelan oil revenues as actively exerting economic pressure on Maduro and contributing to negotiations with the opposition, creating a very high sanctions signal through substantial, implemented measures with observable political effects; contains no trade hostility or Federal Reserve pressure."
1142506680300789800,2019-06-22 18:56:33,"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a short number of years, and existing verification is not acceptable. We are putting major additional Sanctions on Iran on Monday. I look forward to the day that..... ....Sanctions come off Iran, and they become a productive and prosperous nation again - The sooner the better!",0,90,0,"Explicitly announces major additional US sanctions on Iran with a specific and imminent implementation date, creating a very high sanctions signal through substantial escalation of punitive economic measures; also indicates sanctions could eventually be removed if relations improve, but contains no trade hostility or Federal Reserve pressure."
1142567481124503600,2019-06-22 22:58:10,"I never called the strike against Iran ""BACK,"" as people are incorrectly reporting, I just stopped it from going forward at this time!",0,15,0,"Discusses the suspension of a planned military strike against Iran, indicating geopolitical tension but making no reference to sanctions, economic punishment, or other sanctions-related action; contains no trade hostility or Federal Reserve pressure."
1143128642878410800,2019-06-24 12:08:01,"China gets 91% of its Oil from the Straight, Japan 62%, &, many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation. All of these countries should be protecting their own ships on what has always been.... ....a dangerous journey. We don't even need to be there in that the U.S. has just become (by far) the largest producer of Energy anywhere in the world! The U.S. request for Iran is very simple - No Nuclear Weapons and No Further Sponsoring of Terror!",0,12,0,"Expresses geopolitical pressure on Iran over nuclear weapons and terrorism and questions the US role in protecting international oil shipping, but does not mention, threaten, or announce sanctions or other economic punishment; contains no trade hostility or Federal Reserve pressure."
1117033379776667600,2019-04-13 11:54:45,"I agree with Kim Jong Un of North Korea that our personal relationship remains very good, perhaps the term excellent would be even more accurate, and that a third Summit would be good in that we fully understand where we each stand. North Korea has tremendous potential for....... ....extraordinary growth, economic success and riches under the leadership of Chairman Kim. I look forward to the day, which could be soon, when Nuclear Weapons and Sanctions can be removed, and then watching North Korea become one of the most successful nations of the World!",0,57,0,"Discusses the potential removal of sanctions on North Korea as part of future denuclearisation and links their removal to prospects for economic growth, creating a moderate sanctions signal through explicit conditional sanctions policy, but does not announce new sanctions or escalation; contains no trade hostility or Federal Reserve pressure."
1141711064305983500,2019-06-20 14:15:04,Iran made a very big mistake!,0,28,0,"Signals heightened geopolitical tension toward Iran following a serious escalation, but does not explicitly mention sanctions or announce economic retaliation; the surrounding context gives the statement a limited indirect sanctions signal, while there is no trade hostility or Federal Reserve pressure."
1142055375186907100,2019-06-21 13:03:14,"President Obama made a desperate and terrible deal with Iran - Gave them 150 Billion Dollars plus I.8 Billion Dollars in CASH! Iran was in big trouble and he bailed them out. Gave them a free path to Nuclear Weapons, and SOON. Instead of saying thank you, Iran yelled..... ....Death to America. I terminated deal, which was not even ratified by Congress, and imposed strong sanctions. They are a much weakened nation today than at the beginning of my Presidency, when they were causing major problems throughout the Middle East. Now they are Bust!.... ....On Monday they shot down an unmanned drone flying in International Waters. We were cocked &, loaded to retaliate last night on 3 different sights when I asked, how many will die. 150 people, sir, was the answer from a General. 10 minutes before the strike I stopped it, not.... ....proportionate to shooting down an unmanned drone. I am in no hurry, our Military is rebuilt, new, and ready to go, by far the best in the world. Sanctions are biting &, more added last night. Iran can NEVER have Nuclear Weapons, not against the USA, and not against the WORLD!",0,95,0,"Describes strong existing sanctions against Iran as already causing substantial economic damage and announces that additional sanctions have just been imposed, creating an extremely strong sanctions signla through active, escalating punitive economic measures; contains no trade hostility or Federal Reserve pressure."
1109143448634966e3,2019-03-22 17:22:59,It was announced today by the U.S. Treasury that additional large scale Sanctions would be added to those already existing Sanctions on North Korea. I have today ordered the withdrawal of those additional Sanctions!,0,47,0,"Explicitly discusses additional large-scale sanctions on North Korea but announces their withdrawal, creating a moderate sanctions signal because substantial punitive measures were under consideration but are being reversed rather than implemented; contains no trade hostility or Federal Reserve pressure."
1183376270731763700,2019-10-13 13:37:43,"Dealing with @LindseyGrahamSC and many members of Congress, including Democrats, about imposing powerful Sanctions on Turkey. Treasury is ready to go, additional legislation may be sought. There is great consensus on this. Turkey has asked that it not be done. Stay tuned!",0,94,0,"Explicitly signals imminent powerful sanctions against Turkey, with the Treasury prepared to act, broad congressional support and possible additional legislation, creating a very high sanctions signal through substantial and highly credible impending punitive actions; contains no trade hostility or Federal Reserve pressure."
121650672215364e4,2020-01-12 23:46:18,"National Security Adviser suggested today that sanctions & protests have Iran ""choked off"", will force them to negotiate. Actually, I couldn't care less if they negotiate. Will be totally up to them but, no nuclear weapons and ""don't kill your protesters.""",0,87,0,"Describes existing sanctions on Iran as already exerting severe economic pressure and potentially forcing negotiations, creating a very high sanctions signal through substantial, implemented measures with claimed political effects; contains no trade hostility or Federal Reserve pressure."
1221225245220266e3,2020-01-26 00:16:02,"Iranian Foreign Minister says Iran wants to negotiate with The United States, but wants sanctions removed. @FoxNews @OANN No Thanks!",0,91,0,"Explicitly rejects Iran's request to remove existing sanctions as a condition for negotiations, signalling a strong commitment to maintaining substantial economic pressure and making sanctions central to the US negotiating position; contains no trade hostility or Federal Reserve pressure."
1174305447513186300,2019-09-18 12:53:30,I have just instructed the Secretary of the Treasury to substantially increase Sanctions on the country of Iran!,0,95,0,"Directly orders the Treasury Secretary to substantially increase sanctions on Iran, creating an extremely strong sanctions signal through explicit, immediate and substantial escalation of US punitive economic measures; contains no trade hostility or Federal Reserve pressure."
984017894240604200,2018-04-11 10:38:42,"So much Fake News about what is going on in the White House. Very calm and calculated with a big focus on open and fair trade with China, the coming North Korea meeting and, of course, the vicious gas attack in Syria. Feels great to have Bolton &, Larry K on board. I (we) are ....doing things that nobody thought possible, despite the never ending and corrupt Russia Investigation, which takes tremendous time and focus. No Collusion or Obstruction (other than I fight back), so now they do the Unthinkable, and RAID a lawyers office for information! BAD!",18,10,0,"Mentions a focus on achievig open and fair trade with China, providing a weak trade-related signal without threats, restrictions or punitive measures; references geopolitical tensions involving North Korea and Syria but makes no mention of sanctions or economic punishment, and contains no Federal Reserve pressure."
1017093020783710200,2018-07-11 17:07:27,"What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are there only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europe's protection, then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY, not by 2025.",35,36,0,"Criticises Germany's energy payments to Russia and European NATO members' financial contributions, while also highlighting US trade losses with Europe, creating limited economic and trade tension; however, it neither threatens sanctions nor proposes trade restrictions or other punitive economic measures, and contains no Federal Reserve pressure."
1017190186269184e3,2018-07-11 23:33:33,"Billions of additional dollars are being spent by NATO countries since my visit last year, at my request, but it isn't nearly enough. U.S. spends too much. Europe's borders are BAD! Pipeline dollars to Russia are not acceptable!",12,39,0,"Criticises European NATO spending and specifically objects to energy payments to Russia, creating a limited sanctions-related signal through opposition to economic flows benefiting Russia; however, no sanctions or punitive measures are explicitly proposed, and the economic dispute is primarily about NATO burden-sharing rather than trade hostility or Federal Reserve policy."
1135332642851893200,2019-06-02 23:49:30,"Hearing word that Russia, Syria and, to a lesser extent, Iran, are bombing the hell out of Idlib Province in Syria, and indiscriminately killing many innocent civilians. The World is watching this butchery. What is the purpose, what will it get you? STOP!",0,17,0,"Strongly condemns Russian, Syrian and Iranian military actions in Idlib and demands that they stop, signalling geopolitical tension but making no reference to sanctions, economic retaliation or other punitive economic measures; contains no trade hostility or Federal Reserve pressure."
