Security,EUXOQQC BGN Curncy,
Start Date,24/02/2021 00:00,
End Date,17/07/2026 00:00,
Period,D,
Pricing Source,BGN,
,,
Date,PX_LAST,PX_BID
17/07/2026,0.5,-0.4665
16/07/2026,0.625,-0.5269
15/07/2026,0.625,-0.8638
14/07/2026,0.5,-1.4731
13/07/2026,0.5,-3.186
10/07/2026,0.625,-0.009
09/07/2026,0.375,-0.2605
08/07/2026,0.125,-0.5196
07/07/2026,0.75,0.0405
06/07/2026,0.75,-0.1875
03/07/2026,0.875,0.2724
02/07/2026,0.625,-0.0189
01/07/2026,0.625,-0.0066
30/06/2026,-0.25,-1.0091
29/06/2026,-0.875,-1.7763
26/06/2026,-1.25,-1.9165
25/06/2026,-0.625,-1.3271
24/06/2026,-0.5,-1.2443
23/06/2026,-0.75,-1.5963
22/06/2026,-0.375,-1.471
19/06/2026,0.5,-0.1187
18/06/2026,0.5,-0.1537
17/06/2026,0.25,-0.406
16/06/2026,-0.125,-0.8019
15/06/2026,-0.5,-1.1937
12/06/2026,-0.875,-1.4972
11/06/2026,-1.25,-1.8927
10/06/2026,-1.375,-2.0378
09/06/2026,-1,-1.7274
08/06/2026,-0.875,-1.6964
05/06/2026,-0.75,-1.4294
04/06/2026,-0.75,-1.3975
03/06/2026,-1.25,-1.8907
02/06/2026,-1,-1.675
01/06/2026,-0.875,-1.675
29/05/2026,-0.625,-1.3411
28/05/2026,-0.875,-1.6808
27/05/2026,-1,-1.9124
26/05/2026,-1.125,-2.3346
22/05/2026,-1.25,-2.0096
21/05/2026,-1.375,-2.2478
20/05/2026,-1.375,-2.1336
19/05/2026,-1.75,-2.567
18/05/2026,-1.25,-2.5735
15/05/2026,-1.25,-1.9731
14/05/2026,-0.75,-1.4926
13/05/2026,-0.375,-1.1082
12/05/2026,-0.5,-1.2641
11/05/2026,0.125,-0.7275
08/05/2026,0.625,-0.0724
07/05/2026,1,0.366
06/05/2026,0.625,0.0715
05/05/2026,0,-0.4584
01/05/2026,0,-0.6999
30/04/2026,-0.25,-0.9992
29/04/2026,-0.875,-1.6667
