Security,EUXOQQ1 BGN Curncy,
Start Date,23/02/2021 00:00,
End Date,17/07/2026 00:00,
Period,D,
Pricing Source,BGN,
,,
Date,PX_LAST,PX_BID
17/07/2026,-1.875,-5.5837
16/07/2026,-1.75,-5.2392
15/07/2026,-1.75,-4.4268
14/07/2026,-1.875,-4.0416
13/07/2026,-1.9375,-2.9566
10/07/2026,-1.75,-4.3086
09/07/2026,-1.75,-4.9659
08/07/2026,-1.875,-5.0027
07/07/2026,-1.5,-4.8579
06/07/2026,-1.5,-4.2642
03/07/2026,-1.375,-4.3526
02/07/2026,-1.625,-5.3958
01/07/2026,-1.5,-5.3373
30/06/2026,-2,-5.1627
29/06/2026,-2.5,-5.8742
26/06/2026,-2.625,-6.3374
25/06/2026,-2,-4.726
24/06/2026,-1.875,-4.326
23/06/2026,-1.75,-4.0808
22/06/2026,-1.375,-3.7589
19/06/2026,-1,-4.7837
18/06/2026,-1.125,-3.6591
17/06/2026,-1.25,-4.0157
16/06/2026,-1.625,-5.1875
15/06/2026,-1.5,-4.1109
12/06/2026,-1.875,-5.6871
11/06/2026,-2,-5.7621
10/06/2026,-2,-4.8445
09/06/2026,-1.875,-5.7507
08/06/2026,-1.875,-4.9846
05/06/2026,-1.75,-5.7359
04/06/2026,-1.625,-4.9692
03/06/2026,-1.625,-4.9
02/06/2026,-1.625,-4.7079
01/06/2026,-1.75,-5.5663
29/05/2026,-1.5,-4.6947
28/05/2026,-1.625,-4.9927
27/05/2026,-1.625,-5.0787
26/05/2026,-1.75,-3.5581
22/05/2026,-2,-3.7312
21/05/2026,-1.875,-5.12
20/05/2026,-2,-5.6038
19/05/2026,-2.5,-5.222
18/05/2026,-2.125,-3.0524
15/05/2026,-2.125,-4.3658
14/05/2026,-1.625,-5.1649
13/05/2026,-1.75,-5.1054
12/05/2026,-1.75,-5.4033
11/05/2026,-1.625,-3.5756
08/05/2026,-1.25,-4.2131
07/05/2026,-1.5,-5.1168
06/05/2026,-1.75,-4.6664
05/05/2026,-2.5,-3.4037
01/05/2026,-2.625,-4.4778
30/04/2026,-2.5,-4.3687
29/04/2026,-2.75,-6.087
28/04/2026,-2.5,-5.8293
27/04/2026,-2.375,-4.7021
24/04/2026,-2.5,-6.4927
23/04/2026,-2.25,-5.948
22/04/2026,-2.25,-4.8912
21/04/2026,-2.25,-5.3602
20/04/2026,-1.75,-3.8144
17/04/2026,-1.5,-5.2273
16/04/2026,-2.375,-5.6977
15/04/2026,-2.375,-5.9399
14/04/2026,-2.375,-5.3826
13/04/2026,-3,-5.7624
10/04/2026,-2.875,-6.0585
09/04/2026,-2.875,-5.6133
08/04/2026,-3,-6.5753
07/04/2026,-4.625,-7.8009
02/04/2026,-4.75,-8.8073
01/04/2026,-4.125,-7.8098
31/03/2026,-4.75,-8.2704
30/03/2026,-6.5,-10.4263
27/03/2026,-7.125,-10.2075
26/03/2026,-6,-9.6177
25/03/2026,-4.625,-8.142
24/03/2026,-6,-8.6589
23/03/2026,-5.5,-8.8971
20/03/2026,-6.25,-10.0154
19/03/2026,-4.75,-8.7402
18/03/2026,-3.25,-7.0012
17/03/2026,-2.875,-5.5808
16/03/2026,-3.25,-4.7478
13/03/2026,-3.875,-7.1717
12/03/2026,-3.375,-7.1992
11/03/2026,-2.5,-6.2528
10/03/2026,-1.625,-4.8711
09/03/2026,-3.375,-7.3337
06/03/2026,-3.5,-7.3867
05/03/2026,-1.75,-5.232
04/03/2026,-0.875,-4.7637
03/03/2026,-1.75,-5.1015
02/03/2026,-1,-3.7216
27/02/2026,0.125,-2.1395
26/02/2026,0.375,-3.2762
25/02/2026,0.75,-2.8928
24/02/2026,1,-1.1308
23/02/2026,0.875,-1.2012
20/02/2026,1,-1.8414
19/02/2026,1.125,-0.8916
18/02/2026,1,-1.407
17/02/2026,1,-1.4644
16/02/2026,1.125,-2.6406
13/02/2026,1.125,-0.4007
12/02/2026,1.125,-1.0167
11/02/2026,1.375,-2.1079
10/02/2026,1.375,-1.5439
09/02/2026,1.75,0.3675
06/02/2026,1.75,-0.1391
05/02/2026,1.875,-1.5103
04/02/2026,1.875,-1.8218
03/02/2026,1.625,0.0528
02/02/2026,1.5,-1.0437
30/01/2026,1.5,-1.0914
29/01/2026,1.375,-1.5683
28/01/2026,1.5,-2.1401
27/01/2026,1.5,-0.8754
26/01/2026,1.5,0.0877
23/01/2026,1.625,-1.8153
22/01/2026,1.5,-1.205
21/01/2026,1.125,-1.4686
20/01/2026,0.875,-1.7396
19/01/2026,1.125,-0.4793
16/01/2026,1.625,-0.6141
15/01/2026,1.625,-1.918
14/01/2026,1.25,-0.6445
13/01/2026,1.375,-0.23
12/01/2026,1.5,-0.2717
09/01/2026,1.5,-1.1047
08/01/2026,1.625,-0.4691
07/01/2026,1.75,-0.5473
06/01/2026,1.75,-0.5958
05/01/2026,1.375,-1.7963
02/01/2026,1.125,-2.1393
01/01/2026,0.375,-2.3872
31/12/2025,0.375,-3.359
30/12/2025,0.375,-3.056
29/12/2025,0.75,-0.9854
26/12/2025,0.875,-1.2042
25/12/2025,0.875,-1.6328
24/12/2025,0.875,-2.4812
23/12/2025,0.875,-2.7883
22/12/2025,1,-1.9311
19/12/2025,0.75,-2.1952
18/12/2025,0.75,-2.3604
17/12/2025,0.75,-1.6206
16/12/2025,0.25,-2.3812
15/12/2025,0,-2.6226
12/12/2025,-0.125,-2.6361
11/12/2025,-0.25,-3.0291
10/12/2025,-1,-4.0772
09/12/2025,-0.875,-3.8516
08/12/2025,-0.625,-2.4317
05/12/2025,-0.5,-4.1632
04/12/2025,-0.75,-2.9423
03/12/2025,-1.125,-3.8454
02/12/2025,-1.375,-4.7071
01/12/2025,-1.375,-4.8114
28/11/2025,-1.875,-5.1632
27/11/2025,-1.75,-5.4123
26/11/2025,-1.875,-3.5328
25/11/2025,-1.625,-3.953
24/11/2025,-2.375,-4.0951
21/11/2025,-2.625,-5.2989
20/11/2025,-2.375,-5.7187
19/11/2025,-2.625,-5.4085
18/11/2025,-2.5,-4.3466
17/11/2025,-2.5,-3.0094
14/11/2025,-2.625,-6.0998
13/11/2025,-2.25,-5.8906
12/11/2025,-2,-3.5022
11/11/2025,-2,-5.4104
10/11/2025,-1.875,-3.712
07/11/2025,-2,-5.4852
06/11/2025,-1.875,-4.853
05/11/2025,-1.875,-5.5756
04/11/2025,-2,-5.44
03/11/2025,-1.875,-3.865
31/10/2025,-1.75,-5.0078
30/10/2025,-2,-5.703
29/10/2025,-2.375,-5.0979
28/10/2025,-2.625,-5.8778
27/10/2025,-2.375,-4.3808
24/10/2025,-2,-5.0457
23/10/2025,-2.125,-5.9127
22/10/2025,-2.125,-5.6345
21/10/2025,-2.125,-5.2369
20/10/2025,-2.375,-3.466
17/10/2025,-2.625,-6.598
16/10/2025,-2.375,-5.6574
15/10/2025,-1.875,-5.5319
14/10/2025,-2.125,-4.5343
13/10/2025,-2,-2.7125
10/10/2025,-2,-3.1322
09/10/2025,-1.875,-3.6185
08/10/2025,-1.75,-4.5871
07/10/2025,-2.125,-4.1441
06/10/2025,-2.625,-5.9269
03/10/2025,-2.375,-5.5468
02/10/2025,-2.5,-5.6762
01/10/2025,-2.375,-5.203
30/09/2025,-2.375,-5.6722
29/09/2025,-2.75,-6.0333
26/09/2025,-2.5,-4.9738
25/09/2025,-2.375,-5.083
24/09/2025,-2.375,-5.6606
23/09/2025,-2.125,-4.1432
22/09/2025,-2,-4.009
19/09/2025,-2,-5.7196
18/09/2025,-2,-5.796
17/09/2025,-2.125,-5.3739
16/09/2025,-2,-5.6094
15/09/2025,-1.875,-2.8036
12/09/2025,-1.875,-5.118
11/09/2025,-2.25,-5.2053
10/09/2025,-2.125,-5.1439
09/09/2025,-2.375,-5.7189
08/09/2025,-2.75,-4.3801
05/09/2025,-3,-6.813
04/09/2025,-3,-6.7247
03/09/2025,-3.5,-7.1636
02/09/2025,-2.75,-5.0539
01/09/2025,-2.5,-3.4948
29/08/2025,-2.375,-4.4655
28/08/2025,-2.25,-5.7751
27/08/2025,-2,-5.3672
26/08/2025,-1.75,-3.7328
22/08/2025,-1.625,-4.9612
21/08/2025,-1.625,-4.7578
20/08/2025,-1.75,-4.6509
19/08/2025,-1.875,-4.8234
18/08/2025,-1.375,-4.6031
15/08/2025,-1.375,-5.1025
14/08/2025,-1.5,-4.3476
13/08/2025,-1.5,-2.6721
12/08/2025,-1.875,-5.1424
11/08/2025,-1.5,-2.3
08/08/2025,-1.375,-4.8347
07/08/2025,-1.375,-4.4958
06/08/2025,-1.5,-4.6023
05/08/2025,-1.875,-5.2089
04/08/2025,-1.875,-5.5643
01/08/2025,-2,-5.6256
31/07/2025,-2.125,-5.8125
30/07/2025,-2,-4.9718
29/07/2025,-1.875,-3.5002
28/07/2025,-1.875,-3.4425
25/07/2025,-2,-5.7062
24/07/2025,-2,-5.2455
23/07/2025,-2,-4.6685
22/07/2025,-2.125,-4.9444
21/07/2025,-2.125,-3.5313
18/07/2025,-2,-4.8208
17/07/2025,-2,-5.3575
16/07/2025,-2.25,-4.9875
15/07/2025,-2.375,-4.6537
14/07/2025,-2.5,-6.1233
11/07/2025,-2.25,-5.1912
10/07/2025,-2.25,-5.3311
09/07/2025,-2.625,-5.0827
08/07/2025,-2.625,-4.8476
07/07/2025,-3,-4.3952
04/07/2025,-2.875,-6.5267
03/07/2025,-2.75,-4.6609
02/07/2025,-2.625,-5.4401
01/07/2025,-2.25,-5.0992
30/06/2025,-2,-5.4781
27/06/2025,-2.125,-4.2175
26/06/2025,-2.25,-4.9209
25/06/2025,-3.375,-6.1225
24/06/2025,-4,-7.6909
23/06/2025,-4.5,-7.4484
20/06/2025,-4.375,-7.4366
19/06/2025,-4.5,-8.1291
18/06/2025,-4.25,-5.8145
17/06/2025,-4.375,-6.5879
16/06/2025,-4.5,-6.507
13/06/2025,-4.75,-6.6551
12/06/2025,-4.5,-7.9499
11/06/2025,-4.375,-7.9157
10/06/2025,-4,-4.4993
09/06/2025,-4.125,-6.1113
06/06/2025,-4.125,-7.4276
05/06/2025,-3.75,-7.3987
04/06/2025,-3.75,-7.4096
03/06/2025,-4,-6.4949
02/06/2025,-4,-6.028
30/05/2025,-4,-6.9803
29/05/2025,-4.375,-7.0123
28/05/2025,-5.25,-7.8422
27/05/2025,-5.875,-8.3631
23/05/2025,-6.125,-9.9701
22/05/2025,-5.25,-9.2164
21/05/2025,-4.75,-7.5077
20/05/2025,-4.5,-6.8959
19/05/2025,-4.375,-6.2266
16/05/2025,-4.125,-6.4422
15/05/2025,-4.125,-7.7149
14/05/2025,-4.125,-7.3018
13/05/2025,-4,-6.6958
12/05/2025,-4.125,-6.967
09/05/2025,-4.125,-7.0372
08/05/2025,-4.625,-8.3348
07/05/2025,-4.75,-7.9467
06/05/2025,-4.5,-5.1593
02/05/2025,-3.625,-5.4998
01/05/2025,-3.375,-4.8174
30/04/2025,-2.375,-4.2515
29/04/2025,-3.5,-5.4537
28/04/2025,-3.25,-5.4062
25/04/2025,-3.25,-5.292
24/04/2025,-3.25,-5.2156
23/04/2025,-2.75,-5.0464
22/04/2025,-3,-5.3539
17/04/2025,-3.125,-5.7743
16/04/2025,-3.25,-5.3969
15/04/2025,-3.25,-5.5332
14/04/2025,-3.5,-5.757
11/04/2025,-3.625,-6.0675
10/04/2025,-4.875,-7.4994
09/04/2025,-6.5,-8.8232
08/04/2025,-5.375,-7.9621
07/04/2025,-7.75,-10.0533
04/04/2025,-5,-7.1216
03/04/2025,-2.625,-4.9634
02/04/2025,-2.125,-4.0182
01/04/2025,-1.875,-2.0856
31/03/2025,-2.125,-4.2247
28/03/2025,-2,-3.3885
27/03/2025,-2,-2.9301
26/03/2025,-1.625,-3.6402
25/03/2025,-1.75,-3.4348
24/03/2025,-1.625,-2.1741
21/03/2025,-1.5,-3.9185
20/03/2025,-1.375,-3.5495
19/03/2025,-1.625,-3.7179
18/03/2025,-1.625,-3.2739
17/03/2025,-1.375,-3.6257
14/03/2025,-1.375,-2.2474
13/03/2025,-1.5,-3.9438
12/03/2025,-1.375,-2.9584
11/03/2025,-1.5,-3.3837
10/03/2025,-1.375,-4.3004
07/03/2025,-0.625,-2.1318
06/03/2025,-0.25,-2.4494
05/03/2025,-0.75,-3.4488
04/03/2025,-2,-4.0126
03/03/2025,-1.5,-3.5578
28/02/2025,-1.875,-3.6368
27/02/2025,-1.75,-3.7372
26/02/2025,-1.875,-4.3739
25/02/2025,-1.5,-3.5958
24/02/2025,-1.375,-3.971
21/02/2025,-1.5,-3.402
20/02/2025,-1.5,-3.6303
19/02/2025,-2,-4.1014
18/02/2025,-2.25,-4.225
17/02/2025,-2.375,-4.3801
14/02/2025,-2.5,-3.9539
13/02/2025,-2.625,-4.516
12/02/2025,-3,-5.7145
11/02/2025,-3.375,-5.2189
10/02/2025,-3.25,-4.6218
07/02/2025,-3.25,-3.7131
06/02/2025,-3.125,-5.0094
05/02/2025,-3.125,-4.8245
04/02/2025,-3.5,-5.3866
03/02/2025,-3.625,-5.5249
31/01/2025,-3.125,-5.0227
30/01/2025,-3,-5.3527
29/01/2025,-2.875,-4.8233
28/01/2025,-3.25,-5.3392
27/01/2025,-3.625,-5.495
24/01/2025,-3,-4.4468
23/01/2025,-3,-5.1272
22/01/2025,-3.25,-5.1651
21/01/2025,-3.125,-5.2642
20/01/2025,-2.875,-5.066
17/01/2025,-2.75,-4.2303
16/01/2025,-2.5,-4.6728
15/01/2025,-3,-4.9561
14/01/2025,-3.25,-5.4888
13/01/2025,-2.625,-4.864
