feature,coefficient,abs_coefficient
DGS2,0.0,0.0
USEPUINDXD,0.0,0.0
VIXCLS,0.0,0.0
DGS2_diff,0.0,0.0
DGS2_lag1,0.0,0.0
DGS2_lag2,0.0,0.0
DGS2_lag3,0.0,0.0
DGS2_lag5,0.0,0.0
DGS2_diff_lag1,0.0,0.0
DGS2_diff_lag2,0.0,0.0
DGS2_diff_lag3,0.0,0.0
DGS2_diff_lag5,0.0,0.0
DGS2_ma3,0.0,0.0
DGS2_ma5,0.0,0.0
DGS2_ma10,0.0,0.0
USEPUINDXD_diff,0.0,0.0
USEPUINDXD_lag1,0.0,0.0
USEPUINDXD_lag2,0.0,0.0
USEPUINDXD_lag3,0.0,0.0
USEPUINDXD_lag5,0.0,0.0
USEPUINDXD_diff_lag1,0.0,0.0
USEPUINDXD_diff_lag2,0.0,0.0
USEPUINDXD_diff_lag3,0.0,0.0
USEPUINDXD_diff_lag5,0.0,0.0
USEPUINDXD_ma3,0.0,0.0
USEPUINDXD_ma5,0.0,0.0
USEPUINDXD_ma10,0.0,0.0
VIXCLS_diff,0.0,0.0
VIXCLS_lag1,0.0,0.0
VIXCLS_lag2,0.0,0.0
VIXCLS_lag3,0.0,0.0
VIXCLS_lag5,0.0,0.0
VIXCLS_diff_lag1,0.0,0.0
VIXCLS_diff_lag2,0.0,0.0
VIXCLS_diff_lag3,0.0,0.0
VIXCLS_diff_lag5,0.0,0.0
VIXCLS_ma3,0.0,0.0
VIXCLS_ma5,0.0,0.0
VIXCLS_ma10,0.0,0.0
DEXUSEU_logreturn_lag1,0.0,0.0
DEXUSEU_logreturn_lag2,0.0,0.0
DEXUSEU_logreturn_lag3,0.0,0.0
DEXUSEU_logreturn_lag5,0.0,0.0
trade_sum,0.0,0.0
trade_mean,0.0,0.0
trade_max,0.0,0.0
sanctions_sum,0.0,0.0
sanctions_mean,0.0,0.0
sanctions_max,0.0,0.0
fed_pressure_sum,0.0,0.0
fed_pressure_mean,0.0,0.0
fed_pressure_max,0.0,0.0
trade_sum_diff,0.0,0.0
trade_sum_lag1,0.0,0.0
trade_sum_lag2,0.0,0.0
trade_sum_lag3,0.0,0.0
trade_sum_lag5,0.0,0.0
trade_sum_ma3,0.0,0.0
trade_sum_ma5,0.0,0.0
trade_sum_ma10,0.0,0.0
trade_mean_diff,0.0,0.0
trade_mean_lag1,0.0,0.0
trade_mean_lag2,0.0,0.0
trade_mean_lag3,0.0,0.0
trade_mean_lag5,0.0,0.0
trade_mean_ma3,0.0,0.0
trade_mean_ma5,0.0,0.0
trade_mean_ma10,0.0,0.0
trade_max_diff,0.0,0.0
trade_max_lag1,0.0,0.0
trade_max_lag2,0.0,0.0
trade_max_lag3,0.0,0.0
trade_max_lag5,0.0,0.0
trade_max_ma3,0.0,0.0
trade_max_ma5,0.0,0.0
trade_max_ma10,0.0,0.0
sanctions_sum_diff,0.0,0.0
sanctions_sum_lag1,0.0,0.0
sanctions_sum_lag2,0.0,0.0
sanctions_sum_lag3,0.0,0.0
sanctions_sum_lag5,0.0,0.0
sanctions_sum_ma3,0.0,0.0
sanctions_sum_ma5,0.0,0.0
sanctions_sum_ma10,0.0,0.0
sanctions_mean_diff,0.0,0.0
sanctions_mean_lag1,0.0,0.0
sanctions_mean_lag2,0.0,0.0
sanctions_mean_lag3,0.0,0.0
sanctions_mean_lag5,0.0,0.0
sanctions_mean_ma3,0.0,0.0
sanctions_mean_ma5,0.0,0.0
sanctions_mean_ma10,0.0,0.0
sanctions_max_diff,0.0,0.0
sanctions_max_lag1,0.0,0.0
sanctions_max_lag2,0.0,0.0
sanctions_max_lag3,0.0,0.0
sanctions_max_lag5,0.0,0.0
sanctions_max_ma3,0.0,0.0
sanctions_max_ma5,0.0,0.0
sanctions_max_ma10,0.0,0.0
fed_pressure_sum_diff,0.0,0.0
fed_pressure_sum_lag1,0.0,0.0
fed_pressure_sum_lag2,0.0,0.0
fed_pressure_sum_lag3,0.0,0.0
fed_pressure_sum_lag5,0.0,0.0
fed_pressure_sum_ma3,0.0,0.0
fed_pressure_sum_ma5,0.0,0.0
fed_pressure_sum_ma10,0.0,0.0
fed_pressure_mean_diff,0.0,0.0
fed_pressure_mean_lag1,0.0,0.0
fed_pressure_mean_lag2,0.0,0.0
fed_pressure_mean_lag3,0.0,0.0
fed_pressure_mean_lag5,0.0,0.0
fed_pressure_mean_ma3,0.0,0.0
fed_pressure_mean_ma5,0.0,0.0
fed_pressure_mean_ma10,0.0,0.0
fed_pressure_max_diff,0.0,0.0
fed_pressure_max_lag1,0.0,0.0
fed_pressure_max_lag2,0.0,0.0
fed_pressure_max_lag3,0.0,0.0
fed_pressure_max_lag5,0.0,0.0
fed_pressure_max_ma3,0.0,0.0
fed_pressure_max_ma5,0.0,0.0
fed_pressure_max_ma10,0.0,0.0
