alpha,VIXCLS,DGS2_diff,sanctions_sum_ma10
1e-06,-0.0005592564921666947,-0.0005145306108953586,-0.00048447692903723995
1.0722672220103232e-06,-0.0005592023422479767,-0.0005144892554903183,-0.0004842694300914887
1.1497569953977357e-06,-0.0005591448577996217,-0.0005144448236791,-0.0004840490350595538
1.232846739442066e-06,-0.0005590832191098767,-0.0005143971809043169,-0.00048381271269091575
1.3219411484660288e-06,-0.0005590171259632558,-0.0005143460951185509,-0.0004835593119611975
1.4174741629268049e-06,-0.0005589455689369968,-0.0005142913975153066,-0.0004832850890495712
1.519911082952933e-06,-0.0005588695761200643,-0.0005142326596418383,-0.0004829937392762584
1.6297508346206435e-06,-0.0005587880915133599,-0.0005141696769454253,-0.0004826813344641946
1.747528400007683e-06,-0.0005587007181400588,-0.0005141021426230107,-0.0004823463525466315
1.873817422860383e-06,-0.0005586070300002595,-0.0005140297275614382,-0.0004819871598697953
2.0092330025650458e-06,-0.0005585065712788601,-0.0005139520792645353,-0.00048160200933603723
2.1544346900318822e-06,-0.0005583988526847398,-0.000513868819540921,-0.00048118902504314917
2.310129700083158e-06,-0.0005582840528299375,-0.0005137794773426256,-0.0004807487117751062
2.477076355991709e-06,-0.0005581602056106108,-0.000513683751626458,-0.0004802738816538173
2.656087782946684e-06,-0.000558027408296789,-0.0005135811080787076,-0.00047976473687873754
2.848035868435805e-06,-0.0005578850140900071,-0.0005134710467669046,-0.0004792187976251602
3.0538555088334123e-06,-0.0005577323294494711,-0.0005133530316298464,-0.00047863340485834076
3.2745491628777315e-06,-0.0005575686107141206,-0.0005132264878666777,-0.0004780057073824788
3.5111917342151275e-06,-0.0005573930661335803,-0.0005130908014164151,-0.0004773326583122068
3.764935806792471e-06,-0.0005572048381627042,-0.0005129453103983546,-0.00047661097460478574
4.037017258596558e-06,-0.0005570030074792689,-0.0005127893051485915,-0.0004758371368206591
4.328761281083061e-06,-0.0005567865910530255,-0.000512622025832809,-0.0004750073759295859
4.641588833612782e-06,-0.0005565357644007478,-0.0005124273546354689,-0.0004738577725540597
4.977023564332114e-06,-0.000556258219638817,-0.0005122114139504208,-0.00047251599878660953
5.336699231206313e-06,-0.000555960270961261,-0.0005119798448976745,-0.0004710762091800314
5.72236765935022e-06,-0.0005556412268787623,-0.0005117312386215044,-0.0004695343408401298
6.1359072734131755e-06,-0.0005552989871265102,-0.000511464673563597,-0.0004678805682486423
6.579332246575683e-06,-0.0005548906176568735,-0.0005111325347405423,-0.0004661156222610477
7.0548023107186455e-06,-0.0005544408403915963,-0.0005107627050537817,-0.0004642262896877068
7.564633275546291e-06,-0.0005539584827004724,-0.0005103661785940321,-0.00046220017544122075
8.111308307896873e-06,-0.0005534412364070746,-0.0005099410169887654,-0.00046002751422205616
8.697490026177835e-06,-0.0005528870327296744,-0.0005094848865038208,-0.0004577000727464613
9.3260334688322e-06,-0.000552292330188038,-0.0005089960591383977,-0.00045520217996818357
1e-05,-0.0005516546650225592,-0.00050847193216657,-0.0004525237466439377
1.072267222010323e-05,-0.000550971280986323,-0.0005079096043159024,-0.0004496542762653842
1.1497569953977357e-05,-0.000550238143757148,-0.0005073069982072035,-0.00044657500691072893
1.2328467394420658e-05,-0.0005494523158151824,-0.0005066604866961703,-0.0004432756609460117
1.3219411484660286e-05,-0.0005486096974769817,-0.0005059679574113617,-0.000439735704716341
1.4174741629268048e-05,-0.0005476169425922898,-0.0005051227971152579,-0.0004359837460451389
1.5199110829529332e-05,-0.0005465350358969236,-0.0005041960524712531,-0.00043197337557724166
1.6297508346206434e-05,-0.000545374767994223,-0.0005032028879294755,-0.00042767092115133
1.747528400007683e-05,-0.000544129860622606,-0.0005021364418673413,-0.00042304650832137913
1.873817422860383e-05,-0.0005427776547756534,-0.00050102528685287,-0.0004178936933180926
2.0092330025650458e-05,-0.0005412895865962102,-0.0004999150766673203,-0.0004120383459457876
2.1544346900318867e-05,-0.0005396936347373464,-0.0004987245795797993,-0.00040576036990198
2.310129700083158e-05,-0.0005379835551106155,-0.000497450457844731,-0.00039903596297471115
2.477076355991714e-05,-0.0005361476761641614,-0.0004960807034358773,-0.00039182083086569333
2.656087782946684e-05,-0.0005341788960296668,-0.0004946117098565832,-0.00038408446868490906
2.8480358684358048e-05,-0.0005320662539079988,-0.0004930325887769991,-0.0003757698765257291
3.053855508833412e-05,-0.000529614863249858,-0.0004912685857024848,-0.00036700548253261657
3.274549162877732e-05,-0.0005269669263352392,-0.000489364472336109,-0.0003576086021294342
3.511191734215127e-05,-0.0005241986138415484,-0.00048711355025567133,-0.00034737470053013673
3.7649358067924715e-05,-0.0005214317481838092,-0.000484528231040905,-0.000336019955642753
4.037017258596558e-05,-0.0005184290459881058,-0.00048191319114771196,-0.00032917162233714195
4.328761281083062e-05,-0.0005151775899940962,-0.00047923945435245687,-0.00032628734502754823
4.641588833612782e-05,-0.000511690434894725,-0.0004763718556546458,-0.00032319409518018097
4.977023564332114e-05,-0.0005079515043396312,-0.00047329722733696416,-0.00031987747516053043
5.3366992312063123e-05,-0.0005038448607247005,-0.00046990828928746383,-0.00031625181695104466
5.72236765935022e-05,-0.0004985227900920737,-0.0004654419399069303,-0.00031173608391058753
6.135907273413175e-05,-0.0004928161081994843,-0.0004606528198641377,-0.0003068940113879566
6.579332246575683e-05,-0.0004866970308261507,-0.0004555174729058217,-0.0003017019411597097
7.054802310718646e-05,-0.0004801357615205777,-0.0004500108012945816,-0.0002961345359347949
7.56463327554629e-05,-0.00047310042393455663,-0.0004441032807734766,-0.00029016599708004564
8.111308307896872e-05,-0.00046571123458759815,-0.0004376448381000936,-0.00028490197209807765
8.697490026177834e-05,-0.00045798093444096653,-0.0004305539405498218,-0.0002806596559833387
9.326033468832199e-05,-0.00044957051464850566,-0.0004227001059749404,-0.00027568423415163813
0.0001,-0.0004404011526035633,-0.00041396702427567517,-0.0002698186701903829
0.00010722672220103231,-0.0004305691462360257,-0.000404602827022415,-0.0002635292182161238
0.00011497569953977356,-0.0004200266080815185,-0.00039456190524730515,-0.00025678524501971745
0.0001232846739442066,-0.0004087221924277782,-0.0003837953570999103,-0.00024955390179652527
0.00013219411484660288,-0.0003966008385613078,-0.0003722507410751901,-0.00024179996911322368
0.00014174741629268049,-0.00038360350812390335,-0.00035987182772118765,-0.00023348568125524505
0.0001519911082952933,-0.00036966589254287303,-0.0003465970173273227,-0.00022457127794603982
0.0001629750834620645,-0.00035472224331448447,-0.0003323644114880737,-0.0002150117549187676
0.00017475284000076848,-0.00033869855118795716,-0.00031710314007953717,-0.00020476149435542557
0.0001873817422860385,-0.0003215168705836835,-0.00030073897811081196,-0.0001937704766053259
0.00020092330025650479,-0.00030395030425481567,-0.0002833627812827967,-0.00018189999870461967
0.00021544346900318845,-0.0002857937651249878,-0.00026484412221600655,-0.00016786805596649798
0.00023101297000831605,-0.00026642007310967696,-0.0002449634858212086,-0.0001503174434703547
0.0002477076355991711,-0.00024564640647245723,-0.00022364630129636067,-0.000131498514164847
0.00026560877829466864,-0.0002226511719015093,-0.00020077303928702126,-0.00011115766109733832
0.0002848035868435802,-0.0001957345860180639,-0.00017619274120841903,-8.883905801805566e-05
0.0003053855508833416,-0.00016687280734846977,-0.0001498360709512154,-6.490755089921533e-05
0.00032745491628777284,-0.00013592526447766054,-0.00012157466360025684,-3.9246579875207296e-05
0.0003511191734215131,-0.00010274122865553266,-9.127088284994221e-05,-1.1731161761206714e-05
0.00037649358067924675,-6.938046622049487e-05,-5.91381649741523e-05,-0.0
0.0004037017258596554,-3.5181007209979766e-05,-2.4938722928756904e-05,-0.0
0.0004328761281083057,0.0,0.0,0.0
0.0004641588833612782,0.0,0.0,0.0
0.0004977023564332114,0.0,0.0,0.0
0.0005336699231206312,0.0,0.0,0.0
0.0005722367659350221,0.0,0.0,0.0
0.0006135907273413176,0.0,0.0,0.0
0.0006579332246575682,0.0,0.0,0.0
0.0007054802310718645,0.0,0.0,0.0
0.000756463327554629,0.0,0.0,0.0
0.0008111308307896872,0.0,0.0,0.0
0.0008697490026177834,0.0,0.0,0.0
0.0009326033468832199,0.0,0.0,0.0
0.001,0.0,0.0,0.0
