feature,max_alpha_nonzero
DGS2_diff,0.0004037017258596554
VIXCLS,0.0004037017258596554
sanctions_sum_ma10,0.00026560877829466864
fed_pressure_sum_ma10,0.00021544346900318845
USEPUINDXD_diff,0.0001873817422860385
trade_sum_ma10,0.0001629750834620645
trade_sum_ma5,6.135907273413175e-05
trade_max,5.72236765935022e-05
fed_pressure_max,5.3366992312063123e-05
trade_sum_ma3,4.977023564332114e-05
fed_pressure_sum_ma3,2.310129700083158e-05
sanctions_sum,1.873817422860383e-05
sanctions_sum_ma3,1.747528400007683e-05
trade_sum,1.4174741629268048e-05
sanctions_max,1.1497569953977357e-05
sanctions_sum_ma5,7.564633275546291e-06
fed_pressure_sum_ma5,7.0548023107186455e-06
fed_pressure_sum,6.579332246575683e-06
