feature,max_alpha_nonzero
DGS2_diff,0.0004037017258596554
VIXCLS,0.0004037017258596554
sanctions_sum_ma10,0.0003511191734215131
fed_pressure_sum_ma10,0.0002477076355991711
sanctions_sum,0.00020092330025650479
USEPUINDXD_diff,0.0001873817422860385
fed_pressure_max,8.697490026177834e-05
trade_sum_ma5,7.56463327554629e-05
fed_pressure_sum_ma5,4.977023564332114e-05
sanctions_sum_ma5,3.7649358067924715e-05
fed_pressure_sum,3.274549162877732e-05
sanctions_sum_ma3,3.274549162877732e-05
sanctions_max,2.8480358684358048e-05
trade_sum_ma3,1.747528400007683e-05
trade_max,1.6297508346206434e-05
trade_sum,1.3219411484660286e-05
fed_pressure_sum_ma3,6.1359072734131755e-06
trade_sum_ma10,4.328761281083061e-06
