feature,coefficient,abs_coefficient,source,geopolitical_index,representation
DGS2_diff,-5.1705374207930085e-05,5.1705374207930085e-05,Macro,,Difference
VIXCLS_diff,-3.9100618545660894e-05,3.9100618545660894e-05,Macro,,Difference
VIXCLS_diff_lag2,-3.819377375687065e-05,3.819377375687065e-05,Macro,,Difference
VIXCLS_diff_lag1,3.464737385377896e-05,3.464737385377896e-05,Macro,,Difference
sanctions_mean_lag2,-3.20854744095035e-05,3.20854744095035e-05,Geopolitical,Sanctions,Lag
USEPUINDXD_lag2,-3.18070602706499e-05,3.18070602706499e-05,Macro,,Lag
DGS2_diff_lag5,-3.091402200999809e-05,3.091402200999809e-05,Macro,,Difference
trade_mean_diff,3.0901856761078594e-05,3.0901856761078594e-05,Geopolitical,Trade,Difference
DGS2_diff_lag1,-2.9569204321937324e-05,2.9569204321937324e-05,Macro,,Difference
VIXCLS_lag2,-2.8806534521661262e-05,2.8806534521661262e-05,Macro,,Lag
VIXCLS,-2.822745975899732e-05,2.822745975899732e-05,Macro,,Other
fed_pressure_mean_ma10,-2.6448096960684854e-05,2.6448096960684854e-05,Geopolitical,Fed Pressure,MA10
trade_sum_lag3,2.5601736304446532e-05,2.5601736304446532e-05,Geopolitical,Trade,Lag
VIXCLS_ma3,-2.5165435668560842e-05,2.5165435668560842e-05,Macro,,MA3
VIXCLS_ma10,-2.4725344626819318e-05,2.4725344626819318e-05,Macro,,MA10
VIXCLS_diff_lag3,-2.4371827056742666e-05,2.4371827056742666e-05,Macro,,Difference
USEPUINDXD_diff_lag2,-2.3616486415764714e-05,2.3616486415764714e-05,Macro,,Difference
trade_mean_lag1,-2.3608619635936e-05,2.3608619635936e-05,Geopolitical,Trade,Lag
DEXUSEU_logreturn_lag3,-2.1892308985587075e-05,2.1892308985587075e-05,EURUSD,,Lag
sanctions_max_ma10,-2.1497293522225484e-05,2.1497293522225484e-05,Geopolitical,Sanctions,MA10
VIXCLS_ma5,-2.1382088280381428e-05,2.1382088280381428e-05,Macro,,MA5
sanctions_max_lag2,-2.0264938043149207e-05,2.0264938043149207e-05,Geopolitical,Sanctions,Lag
sanctions_mean_ma10,-1.948862183751484e-05,1.948862183751484e-05,Geopolitical,Sanctions,MA10
USEPUINDXD_diff,1.921761663173792e-05,1.921761663173792e-05,Macro,,Difference
USEPUINDXD_ma3,-1.8291035604503115e-05,1.8291035604503115e-05,Macro,,MA3
fed_pressure_mean_lag2,-1.823309136457556e-05,1.823309136457556e-05,Geopolitical,Fed Pressure,Lag
