feature,coefficient,abs_coefficient,source,geopolitical_index,representation
DGS2_diff,-1.8392285207200985e-05,1.8392285207200985e-05,Macro,,Difference
VIXCLS_diff,-1.4715883477069155e-05,1.4715883477069155e-05,Macro,,Difference
VIXCLS_diff_lag2,-1.4672087384488212e-05,1.4672087384488212e-05,Macro,,Difference
VIXCLS_lag2,-1.4384808475225569e-05,1.4384808475225569e-05,Macro,,Lag
USEPUINDXD_lag2,-1.4227788288359944e-05,1.4227788288359944e-05,Macro,,Lag
VIXCLS,-1.39158295700636e-05,1.39158295700636e-05,Macro,,Other
VIXCLS_diff_lag1,1.3075920190038526e-05,1.3075920190038526e-05,Macro,,Difference
VIXCLS_ma10,-1.3002818130886515e-05,1.3002818130886515e-05,Macro,,MA10
VIXCLS_ma3,-1.2936793261081064e-05,1.2936793261081064e-05,Macro,,MA3
VIXCLS_ma5,-1.166820595071272e-05,1.166820595071272e-05,Macro,,MA5
fed_pressure_mean_ma10,-1.1579982475384026e-05,1.1579982475384026e-05,Geopolitical,Fed Pressure,MA10
sanctions_sum_ma10,-1.1523050753606982e-05,1.1523050753606982e-05,Geopolitical,Sanctions,MA10
DGS2_diff_lag1,-1.0757076879764213e-05,1.0757076879764213e-05,Macro,,Difference
sanctions_max_ma10,-1.0438107478370932e-05,1.0438107478370932e-05,Geopolitical,Sanctions,MA10
DGS2_diff_lag5,-1.0418164578880158e-05,1.0418164578880158e-05,Macro,,Difference
sanctions_mean_ma10,-1.0337575945593964e-05,1.0337575945593964e-05,Geopolitical,Sanctions,MA10
VIXCLS_lag3,-1.0305673582468421e-05,1.0305673582468421e-05,Macro,,Lag
USEPUINDXD_ma3,-9.939954390884132e-06,9.939954390884132e-06,Macro,,MA3
VIXCLS_lag1,-9.87464518217451e-06,9.87464518217451e-06,Macro,,Lag
USEPUINDXD_diff_lag2,-9.63789673566291e-06,9.63789673566291e-06,Macro,,Difference
VIXCLS_diff_lag3,-9.348168186762473e-06,9.348168186762473e-06,Macro,,Difference
fed_pressure_sum_ma10,-9.336955502381964e-06,9.336955502381964e-06,Geopolitical,Fed Pressure,MA10
fed_pressure_max_ma10,-9.288758084644048e-06,9.288758084644048e-06,Geopolitical,Fed Pressure,MA10
USEPUINDXD_ma5,-9.133506329312132e-06,9.133506329312132e-06,Macro,,MA5
USEPUINDXD_lag1,-8.979310302592893e-06,8.979310302592893e-06,Macro,,Lag
sanctions_sum,-8.849441596865292e-06,8.849441596865292e-06,Geopolitical,Sanctions,Sum
sanctions_sum_lag5,-8.574030121631016e-06,8.574030121631016e-06,Geopolitical,Sanctions,Lag
sanctions_sum_ma3,-8.358563439198786e-06,8.358563439198786e-06,Geopolitical,Sanctions,MA3
sanctions_mean_ma5,-8.316950412214765e-06,8.316950412214765e-06,Geopolitical,Sanctions,MA5
DEXUSEU_logreturn_lag3,-7.956940257439948e-06,7.956940257439948e-06,EURUSD,,Lag
trade_mean_diff,7.817283380377701e-06,7.817283380377701e-06,Geopolitical,Trade,Difference
sanctions_max_lag5,-7.786938966544077e-06,7.786938966544077e-06,Geopolitical,Sanctions,Lag
sanctions_mean_ma3,-7.67638787793633e-06,7.67638787793633e-06,Geopolitical,Sanctions,MA3
USEPUINDXD_ma10,-7.64189006182095e-06,7.64189006182095e-06,Macro,,MA10
VIXCLS_lag5,-7.63201563201175e-06,7.63201563201175e-06,Macro,,Lag
USEPUINDXD_lag5,-7.449211779453905e-06,7.449211779453905e-06,Macro,,Lag
USEPUINDXD_diff,7.121793967483348e-06,7.121793967483348e-06,Macro,,Difference
sanctions_mean_lag2,-7.1015355629096996e-06,7.1015355629096996e-06,Geopolitical,Sanctions,Lag
sanctions_max_ma3,-7.034909852268915e-06,7.034909852268915e-06,Geopolitical,Sanctions,MA3
trade_sum_lag5,-6.232870012687018e-06,6.232870012687018e-06,Geopolitical,Trade,Lag
sanctions_sum_ma5,-6.194491352366936e-06,6.194491352366936e-06,Geopolitical,Sanctions,MA5
USEPUINDXD_diff_lag5,-6.142154858754988e-06,6.142154858754988e-06,Macro,,Difference
DGS2,-6.119219709047714e-06,6.119219709047714e-06,Macro,,Other
DGS2_diff_lag3,-6.0624860012859155e-06,6.0624860012859155e-06,Macro,,Difference
sanctions_mean_lag1,-6.02601700598463e-06,6.02601700598463e-06,Geopolitical,Sanctions,Lag
trade_mean,5.973363275970349e-06,5.973363275970349e-06,Geopolitical,Trade,Mean
DGS2_diff_lag2,5.86691873317705e-06,5.86691873317705e-06,Macro,,Difference
fed_pressure_mean_lag3,-5.834872271300469e-06,5.834872271300469e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_mean_ma5,-5.830360290072208e-06,5.830360290072208e-06,Geopolitical,Fed Pressure,MA5
trade_max_lag3,5.678795428226194e-06,5.678795428226194e-06,Geopolitical,Trade,Lag
sanctions_max,-5.665542780747733e-06,5.665542780747733e-06,Geopolitical,Sanctions,Max
sanctions_max_lag1,-5.6158611262089e-06,5.6158611262089e-06,Geopolitical,Sanctions,Lag
sanctions_sum_lag1,-5.498648608000678e-06,5.498648608000678e-06,Geopolitical,Sanctions,Lag
sanctions_max_ma5,-5.399101456493309e-06,5.399101456493309e-06,Geopolitical,Sanctions,MA5
trade_mean_lag2,-5.3440866207467014e-06,5.3440866207467014e-06,Geopolitical,Trade,Lag
DGS2_ma3,-5.109729222768361e-06,5.109729222768361e-06,Macro,,MA3
DGS2_lag1,-4.9393386069701e-06,4.9393386069701e-06,Macro,,Lag
DGS2_ma5,-4.854160943318562e-06,4.854160943318562e-06,Macro,,MA5
fed_pressure_mean_lag2,-4.775973420328774e-06,4.775973420328774e-06,Geopolitical,Fed Pressure,Lag
trade_max_ma10,-4.739568285708592e-06,4.739568285708592e-06,Geopolitical,Trade,MA10
trade_mean_ma10,-4.7080880717242355e-06,4.7080880717242355e-06,Geopolitical,Trade,MA10
USEPUINDXD_diff_lag1,4.657264962257605e-06,4.657264962257605e-06,Macro,,Difference
DGS2_lag3,-4.6453039385299435e-06,4.6453039385299435e-06,Macro,,Lag
VIXCLS_diff_lag5,4.623245138118318e-06,4.623245138118318e-06,Macro,,Difference
DEXUSEU_logreturn_lag2,-4.582483621779385e-06,4.582483621779385e-06,EURUSD,,Lag
USEPUINDXD_lag3,-4.511022792510302e-06,4.511022792510302e-06,Macro,,Lag
sanctions_mean_lag3,-4.441478206931142e-06,4.441478206931142e-06,Geopolitical,Sanctions,Lag
DGS2_ma10,-4.324490025518538e-06,4.324490025518538e-06,Macro,,MA10
DGS2_lag2,-4.24955051573789e-06,4.24955051573789e-06,Macro,,Lag
DGS2_lag5,-3.977882258135379e-06,3.977882258135379e-06,Macro,,Lag
fed_pressure_max_diff,3.977013793317007e-06,3.977013793317007e-06,Geopolitical,Fed Pressure,Difference
trade_mean_lag1,-3.961440288174957e-06,3.961440288174957e-06,Geopolitical,Trade,Lag
DEXUSEU_logreturn_lag5,-3.957284179620631e-06,3.957284179620631e-06,EURUSD,,Lag
trade_sum_ma10,-3.9219811231274235e-06,3.9219811231274235e-06,Geopolitical,Trade,MA10
trade_max_lag5,-3.719922733144193e-06,3.719922733144193e-06,Geopolitical,Trade,Lag
fed_pressure_max_lag5,-3.5829200708344805e-06,3.5829200708344805e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_max_lag1,-3.573666751968169e-06,3.573666751968169e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_max_lag2,-3.5502430494966935e-06,3.5502430494966935e-06,Geopolitical,Fed Pressure,Lag
sanctions_mean_lag5,-3.4886530171104644e-06,3.4886530171104644e-06,Geopolitical,Sanctions,Lag
DEXUSEU_logreturn_lag1,-3.24695309049041e-06,3.24695309049041e-06,EURUSD,,Lag
sanctions_mean_diff,3.2026192508068317e-06,3.2026192508068317e-06,Geopolitical,Sanctions,Difference
trade_sum_lag3,3.0980487938331896e-06,3.0980487938331896e-06,Geopolitical,Trade,Lag
trade_max_ma3,-2.9584092691299543e-06,2.9584092691299543e-06,Geopolitical,Trade,MA3
fed_pressure_max_ma5,-2.85595588910865e-06,2.85595588910865e-06,Geopolitical,Fed Pressure,MA5
fed_pressure_sum_ma3,-2.8181703901811074e-06,2.8181703901811074e-06,Geopolitical,Fed Pressure,MA3
trade_max_lag1,-2.766584341229725e-06,2.766584341229725e-06,Geopolitical,Trade,Lag
fed_pressure_max_ma3,-2.64930299569159e-06,2.64930299569159e-06,Geopolitical,Fed Pressure,MA3
sanctions_sum_diff,-2.566798431389838e-06,2.566798431389838e-06,Geopolitical,Sanctions,Difference
trade_mean_ma5,-2.556499186805643e-06,2.556499186805643e-06,Geopolitical,Trade,MA5
fed_pressure_sum_ma5,-2.3750881961796268e-06,2.3750881961796268e-06,Geopolitical,Fed Pressure,MA5
sanctions_max_lag2,-2.200808777076067e-06,2.200808777076067e-06,Geopolitical,Sanctions,Lag
fed_pressure_sum_lag2,-2.1730219682419633e-06,2.1730219682419633e-06,Geopolitical,Fed Pressure,Lag
trade_sum_diff,2.1343235481112022e-06,2.1343235481112022e-06,Geopolitical,Trade,Difference
fed_pressure_sum,-2.0470252359980075e-06,2.0470252359980075e-06,Geopolitical,Fed Pressure,Sum
trade_sum_lag1,-2.030903526668848e-06,2.030903526668848e-06,Geopolitical,Trade,Lag
trade_max_lag2,-1.8689420974670173e-06,1.8689420974670173e-06,Geopolitical,Trade,Lag
USEPUINDXD,-1.7572006309811924e-06,1.7572006309811924e-06,Macro,,Other
fed_pressure_mean_ma3,-1.6890303439178554e-06,1.6890303439178554e-06,Geopolitical,Fed Pressure,MA3
fed_pressure_max,1.6061664275913544e-06,1.6061664275913544e-06,Geopolitical,Fed Pressure,Max
fed_pressure_mean_lag1,1.5749629226404835e-06,1.5749629226404835e-06,Geopolitical,Fed Pressure,Lag
sanctions_sum_lag2,-1.5678754399160172e-06,1.5678754399160172e-06,Geopolitical,Sanctions,Lag
trade_mean_ma3,-1.5538499787556911e-06,1.5538499787556911e-06,Geopolitical,Trade,MA3
trade_sum_lag2,-1.4978411290437066e-06,1.4978411290437066e-06,Geopolitical,Trade,Lag
trade_max,-1.4802834790910263e-06,1.4802834790910263e-06,Geopolitical,Trade,Max
sanctions_mean,-1.4218389783646655e-06,1.4218389783646655e-06,Geopolitical,Sanctions,Mean
trade_mean_lag5,-1.4199505121821854e-06,1.4199505121821854e-06,Geopolitical,Trade,Lag
fed_pressure_max_lag3,-1.4029477428761371e-06,1.4029477428761371e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_mean_diff,-1.2545888198330758e-06,1.2545888198330758e-06,Geopolitical,Fed Pressure,Difference
trade_sum_ma3,-1.2078120229804767e-06,1.2078120229804767e-06,Geopolitical,Trade,MA3
fed_pressure_sum_lag1,-1.1393585802436998e-06,1.1393585802436998e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_mean_lag5,-1.1045779642833675e-06,1.1045779642833675e-06,Geopolitical,Fed Pressure,Lag
trade_max_ma5,1.0761329070505795e-06,1.0761329070505795e-06,Geopolitical,Trade,MA5
trade_mean_lag3,-1.0631701164058826e-06,1.0631701164058826e-06,Geopolitical,Trade,Lag
fed_pressure_sum_lag3,-1.0081459779964383e-06,1.0081459779964383e-06,Geopolitical,Fed Pressure,Lag
trade_max_diff,9.606508577990012e-07,9.606508577990012e-07,Geopolitical,Trade,Difference
sanctions_max_lag3,-9.465970947611167e-07,9.465970947611167e-07,Geopolitical,Sanctions,Lag
fed_pressure_sum_diff,-8.005853671722204e-07,8.005853671722204e-07,Geopolitical,Fed Pressure,Difference
trade_sum,7.539195447244554e-07,7.539195447244554e-07,Geopolitical,Trade,Sum
sanctions_sum_lag3,5.933712551253105e-07,5.933712551253105e-07,Geopolitical,Sanctions,Lag
trade_sum_ma5,4.88900092688803e-07,4.88900092688803e-07,Geopolitical,Trade,MA5
sanctions_max_diff,-2.8279612373140843e-07,2.8279612373140843e-07,Geopolitical,Sanctions,Difference
USEPUINDXD_diff_lag3,-2.3930923799528545e-07,2.3930923799528545e-07,Macro,,Difference
fed_pressure_mean,-1.6790725072772434e-07,1.6790725072772434e-07,Geopolitical,Fed Pressure,Mean
fed_pressure_sum_lag5,-1.2391303484127206e-07,1.2391303484127206e-07,Geopolitical,Fed Pressure,Lag
