target,horizon,metric,Benchmark,Macro,DeepSeek,Gemma,DeepSeek_vs_Macro,Gemma_vs_Macro,best_model
return,1,RMSE,0.00406861998929889,0.00406861998929889,0.00406861998929889,0.00406861998929889,0.0,0.0,Benchmark
return,5,RMSE,0.009558051455186662,0.009558051455186662,0.009558051455186662,0.009558051455186662,0.0,0.0,Benchmark
return,10,RMSE,0.013517528810789667,0.013793497637909395,0.013793497637909395,0.013793497637909395,0.0,0.0,Benchmark
return,21,RMSE,0.021973796211219605,0.021973796211219605,0.021973796211219605,0.01997985059126398,0.0,9.074197288393602,Gemma
volatility,1,RMSE,0.00245962813609031,0.0024559726294054902,0.0024508845292822872,0.0024744789689413503,0.20717250926508382,-0.7535238509697834,DeepSeek
volatility,5,RMSE,0.0027377821814595854,0.003012677418736124,0.0035305580804128544,0.003126517816079621,-17.19004691494622,-3.7787118074943233,Benchmark
volatility,10,RMSE,0.002665644198658603,0.0025014064615603866,0.004489295531280727,0.003452645662952963,-79.4708537084488,-38.02817398973176,Macro
volatility,21,RMSE,0.0036838228216963358,0.0036838228216963358,0.003584103690784659,0.0034206218296571225,2.7069469879052934,7.144778801224045,Gemma
direction,1,ROC_AUC,0.5,0.5112878699263071,0.5209966077903848,0.5236869809334425,0.009708737864077666,0.01239911100713531,Gemma
direction,5,ROC_AUC,0.5,0.6483729338842975,0.5835485537190083,0.6069214876033059,-0.06482438016528924,-0.04145144628099162,Macro
direction,10,ROC_AUC,0.5,0.5943548387096774,0.5,0.5,-0.09435483870967742,-0.09435483870967742,Macro
direction,21,ROC_AUC,0.5,0.4505313575812004,0.3255500673551863,0.2926208651399491,-0.12498129022601406,-0.15791049244125127,Benchmark
