target,horizon,model,RMSE,MAE,R2,Accuracy,Balanced_Accuracy,ROC_AUC
return,1,Benchmark,0.00406861998929889,0.003246861564415074,-0.023321418610214417,,,
return,1,Macro,0.00406861998929889,0.003246861564415074,-0.023321418610214417,,,
return,1,DeepSeek,0.00406861998929889,0.003246861564415074,-0.023321418610214417,,,
return,1,Gemma,0.00406861998929889,0.003246861564415074,-0.023321418610214417,,,
return,5,Benchmark,0.009558051455186662,0.0076097427558659975,-0.11438138059609027,,,
return,5,Macro,0.009558051455186662,0.0076097427558659975,-0.11438138059609027,,,
return,5,DeepSeek,0.009558051455186662,0.0076097427558659975,-0.11438138059609027,,,
return,5,Gemma,0.009558051455186662,0.0076097427558659975,-0.11438138059609027,,,
return,10,Benchmark,0.013517528810789667,0.010263953008511599,-0.25337200773343005,,,
return,10,Macro,0.013793497637909395,0.01044952967461589,-0.3050711614465025,,,
return,10,DeepSeek,0.013793497637909395,0.01044952967461589,-0.3050711614465025,,,
return,10,Gemma,0.013793497637909395,0.01044952967461589,-0.3050711614465025,,,
return,21,Benchmark,0.021973796211219605,0.01714933194223105,-0.47727865488159393,,,
return,21,Macro,0.021973796211219605,0.01714933194223105,-0.47727865488159393,,,
return,21,DeepSeek,0.021973796211219605,0.01714933194223105,-0.47727865488159393,,,
return,21,Gemma,0.01997985059126398,0.01580227342045629,-0.2213403641032783,,,
volatility,1,Benchmark,0.00245962813609031,0.001953402762383488,-0.003842277917408321,,,
volatility,1,Macro,0.0024559726294054902,0.0020192125237472997,-0.0008606684180385571,,,
volatility,1,DeepSeek,0.0024508845292822872,0.002001417372169535,0.00328205216509192,,,
volatility,1,Gemma,0.0024744789689413503,0.0020635817568476354,-0.016000944809045237,,,
volatility,5,Benchmark,0.0027377821814595854,0.0022873870630268113,-0.020552795434483073,,,
volatility,5,Macro,0.003012677418736124,0.0024231740178122774,-0.2357851038322134,,,
volatility,5,DeepSeek,0.0035305580804128544,0.002842938101759655,-0.6971663492520952,,,
volatility,5,Gemma,0.003126517816079621,0.002512237680709561,-0.33094315499416505,,,
volatility,10,Benchmark,0.002665644198658603,0.002210951105595846,-0.09684075442272055,,,
volatility,10,Macro,0.0025014064615603866,0.002001494138850655,0.0341542969368005,,,
volatility,10,DeepSeek,0.004489295531280727,0.0038241496116018284,-2.110968469007074,,,
volatility,10,Gemma,0.003452645662952963,0.0028163694701843515,-0.8401076772428566,,,
volatility,21,Benchmark,0.0036838228216963358,0.0028869737975973212,-0.5138132429159306,,,
volatility,21,Macro,0.0036838228216963358,0.0028869737975973212,-0.5138132429159306,,,
volatility,21,DeepSeek,0.003584103690784659,0.0026310770649360694,-0.43296625499136376,,,
volatility,21,Gemma,0.0034206218296571225,0.002471773415123834,-0.3052237208484747,,,
direction,1,Benchmark,,,,0.44623655913978494,0.5,0.5
direction,1,Macro,,,,0.4946236559139785,0.5238039536787928,0.5112878699263071
direction,1,DeepSeek,,,,0.5161290322580645,0.5186571528833781,0.5209966077903848
direction,1,Gemma,,,,0.521505376344086,0.5188326120014036,0.5236869809334425
direction,5,Benchmark,,,,0.654054054054054,0.5,0.5
direction,5,Macro,,,,0.6594594594594595,0.5703770661157025,0.6483729338842975
direction,5,DeepSeek,,,,0.6486486486486487,0.5032283057851239,0.5835485537190083
direction,5,Gemma,,,,0.654054054054054,0.5,0.6069214876033059
direction,10,Benchmark,,,,0.32608695652173914,0.5,0.5
direction,10,Macro,,,,0.6141304347826086,0.5545698924731183,0.5943548387096774
direction,10,DeepSeek,,,,0.32608695652173914,0.5,0.5
direction,10,Gemma,,,,0.32608695652173914,0.5,0.5
direction,21,Benchmark,,,,0.2802197802197802,0.5,0.5
direction,21,Macro,,,,0.3021978021978022,0.479344409519533,0.4505313575812004
direction,21,DeepSeek,,,,0.7197802197802198,0.5,0.3255500673551863
direction,21,Gemma,,,,0.7197802197802198,0.5,0.2926208651399491
